Original_Index,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Cumulative_Distance,Truck_Load
0,Moody Gardens,-94.8523,29.2736,0,0,,,,,,,,,,,,,depot,Truck,,0,0
231,,-94.841316614341,29.2581766503582,1,0,,,,,,,,,,,,,outdoor,Truck,3023.0,2595,1
31,Sapori,-94.8412938,29.2592634,1,1,365.0,restaurant,4.5,0,0,93.75,"7611 Stewart Road, Galveston",POINT (-94.8412938 29.2592634),Curious,High,Yes,Low,indoor,Truck,,2835,2
232,,-94.8361248635164,29.260958542086108,1,0,,,,,,,,,,,,,outdoor,Truck,3024.0,3535,3
230,,-94.83155513372616,29.263467832281307,1,0,,,,,,,,,,,,,outdoor,Truck,3022.0,4058,4
200,,-94.8319366364599,29.264478371825057,1,0,,,,,,,,,,,,,outdoor,Truck,2021.0,4514,5
115,Golden Corral Buffet & Grill,-94.8282526,29.2660613,1,1,4686.0,restaurant,4.2,280,40,280,"6200 Seawall Boulevard, Galveston",POINT (-94.8282526 29.2660613),Skeptical,Med,No,Low,indoor,Truck,,5254,6
229,,-94.8262520532695,29.266291220605424,1,0,,,,,,,,,,,,,outdoor,Truck,3021.0,5516,7
138,Tortuga Mexican Kitchen,-94.82559204,29.26748848,1,1,486.0,restaurant,3.0,20,10,20,,POINT (-94.8255920410156 29.2674884796143),Opp,Med,No,Low,indoor,Truck,,5682,8
193,,-94.82321262591007,29.269059709958142,1,0,,,,,,,,,,,,,outdoor,Truck,2014.0,6146,9
137,Rainforest Cafe,-94.82020721,29.27075307,1,1,485.0,restaurant,3.0,350,50,350,,POINT (-94.820207208395 29.270753067342),Skeptical,Med,No,High,indoor,Truck,,6623,10
113,Landry's Prime Seafood & Steaks,-94.82023169,29.2707352,1,1,637.0,restaurant,3.5,,,93.75,"5310 Seawall Blvd Galveston, TX 77551",POINT (-94.8202316880881 29.270735202849),Skeptical,Med,No,High,indoor,Truck,,6624,11
228,,-94.81987694535516,29.270206728176856,1,0,,,,,,,,,,,,,outdoor,Truck,3020.0,6709,12
136,Grotto (under San Luis),-94.818427,29.272606,1,1,136.0,restaurant,4.5,0,0,93.75,,POINT (-94.818427 29.272606),Skeptional,Med,No,High,indoor,Truck,,7092,13
112,The Cove,-94.8183102,29.2725491,1,1,46.0,bar,4.2,0,0,140.625,"5222 Seawall Boulevard, Galveston",POINT (-94.8183102 29.2725491),Skeptical,Med,No,High,indoor,Truck,,7101,14
132,Blake's Bistro (under San Luis),-94.81829196,29.27254012,1,1,70.0,restaurant,4.0,0,0,93.75,San Luis Hotel,POINT (-94.8182919630244 29.2725401175338),Skeptical,Med,No,High,indoor,Truck,,7102,15
111,H2O Pool + Bar,-94.817417,29.2723853,11,8,33.0,restaurant,3.5,7500,500,7500,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551",POINT (-94.817417 29.2723853),Skeptical,Med,No,High,indoor,Truck,,7291,26
134,B. Jiggers Lounge,-94.8166683,29.2725013,1,1,17.0,restaurant,2.5,560,80,560,,POINT (-94.8166683 29.2725013),Skeptical,Med,No,High,indoor,Truck,,7383,27
227,,-94.81618144806576,29.27207251896977,1,0,,,,,,,,,,,,,outdoor,Truck,3019.0,7451,28
130,Jetty,-94.81661,29.27279,1,1,30.0,restaurant,2.5,,,93.75,HI seawall,POINT (-94.81661 29.27279),Skeptical,Med,No,High,indoor,Truck,,7560,29
107,KritiKos Olympia Grill,-94.8157266,29.2734391,1,1,379.0,restaurant,4.3,105,15,105,"4908 Seawall Boulevard suite B, Galveston",POINT (-94.8157266 29.2734391),Curious,Med,No,Low,indoor,Truck,,7703,30
226,,-94.8124062388772,29.27425339937392,1,0,,,,,,,,,,,,,outdoor,Truck,3018.0,8135,31
190,,-94.81271795927027,29.27510482953612,1,0,,,,,,,,,,,,,outdoor,Truck,2011.0,8286,32
163,Salsas,-94.811817,29.275546,1,1,5484.0,restaurant,4.3,,,656.25,"4604 Seawall Boulevard, Galveston",POINT (-94.811817 29.275546),Skeptical,Med,Yes,Low,indoor,Truck,,8505,33
100,Mr Taco & Limon Paradise,-94.8072763,29.2777842,2,1,129.0,restaurant,4.1,350,50,350,"4112 Seawall Boulevard, Galveston",POINT (-94.8072763 29.2777842),Curious,Med,No,Med,indoor,Truck,,9050,35
96,Nick's Kitchen and Beach Bar,-94.8040028,29.2797917,1,1,3609.0,restaurant,4.2,,,656.25,"3802 Seawall Boulevard, Galveston",POINT (-94.8040028 29.2797917),Skeptical,Med,No,High,indoor,Truck,,9674,36
220,,-94.79867731012496,29.282876114591787,1,0,,,,,,,,,,,,,outdoor,Truck,3012.0,10466,37
87,Rum Shack,-94.7979948,29.2835904,1,1,221.0,bar,4.3,,,140.625,"3204 Seawall Boulevard Suite E, Galveston",POINT (-94.7979948 29.2835904),Skeptical,Med,No,High,indoor,Truck,,10587,38
85,Tiki Bar,-94.7979736,29.2836062,2,2,142.0,bar,4.3,,,1125,"3204 Seawall Boulevard Suite B, Galveston",POINT (-94.7979736 29.2836062),Skeptical,Med,No,High,indoor,Truck,,10588,40
158,The Spot,-94.7980051,29.2836047,1,1,12914.0,bar,4.3,,,468.75,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),Skeptical,Med,Yes,High,indoor,Truck,,10588,41
84,Squeeze,-94.7980425,29.2837569,1,1,35.0,bar,3.5,,,140.625,"3204 Seawall Boulevard c, Galveston (spot)",POINT (-94.7980425 29.2837569),Skeptical,Med,No,High,indoor,Truck,,10621,42
83,Under the Bun,-94.7981611,29.2836927,1,1,6.0,restaurant,4.8,,,93.75,"3202 Seawall Boulevard, Galveston (SPOT)",POINT (-94.7981611 29.2836927),Skeptical,Med,No,High,indoor,Truck,,10634,43
88,Drip,-94.7981973,29.2836623,1,1,2.0,bar,5.0,1500,150,1500,"3204 Seawall Boulevard, Galveston",POINT (-94.7981973 29.2836623),Skeptical,Med,No,High,indoor,Truck,,10638,44
86,SideYard,-94.7980166,29.2837156,1,1,106.0,bar,4.2,,,140.625,"3204 Seawall Boulevard Suite D, Galveston",POINT (-94.7980166 29.2837156),Skeptical,Med,No,High,indoor,Truck,,10677,45
