0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,5784.9,6368.1,9348.9,9320.9,9323.5,9218.5,9789.6,9912.8,9626.1,9602.4,5784.9,6368.1,9348.9,9320.9,9323.5,9218.5,9789.6,9912.8,9626.1,9602.4
5830.5,0.0,772.7,3219.4,3285.5,3288.2,3531.6,3823.8,3839.1,3996.2,6696.5,0.0,772.7,3219.4,3285.5,3288.2,3531.6,3823.8,3839.1,3996.2,6696.5
6410.6,772.5,0.0,2493.6,2559.6,2562.3,2802.7,3098.0,3113.3,3168.6,5968.7,772.5,0.0,2493.6,2559.6,2562.3,2802.7,3098.0,3113.3,3168.6,5968.7
9190.3,3218.9,2493.3,0.0,95.6,98.3,542.9,721.4,736.7,851.4,6119.2,3218.9,2493.3,0.0,95.6,98.3,542.9,721.4,736.7,851.4,6119.2
9272.5,3626.5,2900.9,95.3,0.0,42.8,486.4,581.4,596.7,652.9,6184.9,3626.5,2900.9,95.3,0.0,42.8,486.4,581.4,596.7,652.9,6184.9
9275.1,3289.5,2858.1,98.0,42.8,0.0,443.7,538.7,554.0,610.1,6187.5,3289.5,2858.1,98.0,42.8,0.0,443.7,538.7,554.0,610.1,6187.5
9737.2,3628.7,2903.1,440.4,385.1,342.4,0.0,329.9,345.2,400.3,6649.6,3628.7,2903.1,440.4,385.1,342.4,0.0,329.9,345.2,400.3,6649.6
9736.3,3825.0,3099.4,636.7,581.4,538.7,431.3,0.0,15.3,163.2,6648.7,3825.0,3099.4,636.7,581.4,538.7,431.3,0.0,15.3,163.2,6648.7
9751.5,3951.8,3226.2,760.6,705.4,662.6,446.6,15.3,0.0,178.5,6664.0,3951.8,3226.2,760.6,705.4,662.6,446.6,15.3,0.0,178.5,6664.0
9573.1,3895.3,3169.7,708.3,653.1,610.3,502.1,163.4,178.7,0.0,6485.5,3895.3,3169.7,708.3,653.1,610.3,502.1,163.4,178.7,0.0,6485.5
9554.0,6695.4,5967.8,6212.9,6184.9,6187.5,6770.6,6653.6,6776.8,6490.1,0.0,6695.4,5967.8,6212.9,6184.9,6187.5,6770.6,6653.6,6776.8,6490.1,0.0
5830.5,0.0,772.7,3219.4,3285.5,3288.2,3531.6,3823.8,3839.1,3996.2,6696.5,0.0,772.7,3219.4,3285.5,3288.2,3531.6,3823.8,3839.1,3996.2,6696.5
6410.6,772.5,0.0,2493.6,2559.6,2562.3,2802.7,3098.0,3113.3,3168.6,5968.7,772.5,0.0,2493.6,2559.6,2562.3,2802.7,3098.0,3113.3,3168.6,5968.7
9190.3,3218.9,2493.3,0.0,95.6,98.3,542.9,721.4,736.7,851.4,6119.2,3218.9,2493.3,0.0,95.6,98.3,542.9,721.4,736.7,851.4,6119.2
9272.5,3626.5,2900.9,95.3,0.0,42.8,486.4,581.4,596.7,652.9,6184.9,3626.5,2900.9,95.3,0.0,42.8,486.4,581.4,596.7,652.9,6184.9
9275.1,3289.5,2858.1,98.0,42.8,0.0,443.7,538.7,554.0,610.1,6187.5,3289.5,2858.1,98.0,42.8,0.0,443.7,538.7,554.0,610.1,6187.5
9737.2,3628.7,2903.1,440.4,385.1,342.4,0.0,329.9,345.2,400.3,6649.6,3628.7,2903.1,440.4,385.1,342.4,0.0,329.9,345.2,400.3,6649.6
9736.3,3825.0,3099.4,636.7,581.4,538.7,431.3,0.0,15.3,163.2,6648.7,3825.0,3099.4,636.7,581.4,538.7,431.3,0.0,15.3,163.2,6648.7
9751.5,3951.8,3226.2,760.6,705.4,662.6,446.6,15.3,0.0,178.5,6664.0,3951.8,3226.2,760.6,705.4,662.6,446.6,15.3,0.0,178.5,6664.0
9573.1,3895.3,3169.7,708.3,653.1,610.3,502.1,163.4,178.7,0.0,6485.5,3895.3,3169.7,708.3,653.1,610.3,502.1,163.4,178.7,0.0,6485.5
9554.0,6695.4,5967.8,6212.9,6184.9,6187.5,6770.6,6653.6,6776.8,6490.1,0.0,6695.4,5967.8,6212.9,6184.9,6187.5,6770.6,6653.6,6776.8,6490.1,0.0
