,Name,place_id,Address,Coordinates,business_status,types,category
44,General and Zone 4 Parking Lot,ChIJeaa7R0dLUnkRXyUVZkSKh88,Hilo,"{'lat': 19.703402, 'lng': -155.0789984}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
45,Parking lot,ChIJOZMxRzhLUnkRYMEMxBWm0fo,Hilo,"{'lat': 19.7007234, 'lng': -155.0819651}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
46,General Parking Lot,ChIJm6S4qThLUnkRlEcpYbj1ukg,Hilo,"{'lat': 19.7020717, 'lng': -155.0784885}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
47,Zone 2,ChIJJS_5wThLUnkRB2-n40Vb1L0,Hilo,"{'lat': 19.7003315, 'lng': -155.079601}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
48,General Parking Lot,ChIJ1QhdjTlLUnkRyWLl1yh19_8,Hilo,"{'lat': 19.6974888, 'lng': -155.082336}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
49,Kapiolani Street @ Lanikaula Street - Across from University of Hawai'i-Hilo,ChIJ4WvlIUdLUnkRnskFGx159jA,United States,"{'lat': 19.704466, 'lng': -155.07942}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
50,Kapiolani St @ Lanikaula St - University of Hawai'i-Hilo,ChIJhfZCOUdLUnkRlnjqGEX-tmo,United States,"{'lat': 19.7036094, 'lng': -155.0790058}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
51,Kamana Street @ Ka Nani O Hilo Senior Center,ChIJ14ZRPkRLUnkR-bgJW23mUpY,United States,"{'lat': 19.70874999999999, 'lng': -155.079611}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
52,W. Kawili Street @ across from Waiakea High School,ChIJm91hnkBLUnkR6YbMKMgF-kw,United States,"{'lat': 19.70168899999999, 'lng': -155.0762}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
53,Kilauea Avenue @ Across Kohala Street (Across from Hilo Shopping Center),ChIJvy-AoENLUnkRAwJntxPuxz4,United States,"{'lat': 19.7098397, 'lng': -155.0763008}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
54,W. Kawili Street @ Waiakea High School,ChIJCQjJYT9LUnkRYtGxtP5ZglA,United States,"{'lat': 19.7014538, 'lng': -155.076278}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
55,Hilo Shopping Center,ChIJi7I9CkNLUnkRZL0XHWaOirM,United States,"{'lat': 19.7099218, 'lng': -155.0761856}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
56,Kawili Street @ across Hawai'i Community College,ChIJfY0sFWpLUnkRPE7_a9gscJk,United States,"{'lat': 19.70487199999999, 'lng': -155.070719}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
57,Kawili Street @ Hawai'i Community College,ChIJpwLCampLUnkR0utbqOVHbaU,United States,"{'lat': 19.7047737, 'lng': -155.0706779}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
58,Inside Kupuna Place Heights Housing @ Phase 1,ChIJvS0fXDVLUnkRcMmKw8aaa80,United States,"{'lat': 19.703861, 'lng': -155.094583}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
59,Hilo Brewing,ChIJNV4_1WtLUnkRqwALSXUTbWo,United States,"{'lat': 19.7059083, 'lng': -155.0690037}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
60,Prince Kuhio Plaza - P-2,ChIJVfcbxRJLUnkRgqdO88SpyR4,"325 Makaala Street, Hilo","{'lat': 19.6986224, 'lng': -155.0622851}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
61,Prince Kuhio Plaza - P-3,ChIJoShDmhJLUnkRmMFxzg03wcw,"11-27 Ohuohu St, Hilo","{'lat': 19.69739, 'lng': -155.0608152}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
62,Prince Kuhio Plaza - P-7,ChIJJUb1FRNLUnkRAugxVp_lMYI,"1639-1717 Mamalahoa Hwy, Hilo","{'lat': 19.69838, 'lng': -155.0643477}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
63,Prince Kuhio Plaza - P-4,ChIJRz47UBJLUnkRxAF6ElNJP2g,"111E Puainako Street, Hilo","{'lat': 19.696087, 'lng': -155.0625265}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
64,Prince Kuhio Plaza - P-6,ChIJw9oSvRNLUnkR7JLz3d_W4pc,"26 Pilipaa Street, Hilo","{'lat': 19.6962133, 'lng': -155.0645327}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
65,Target at Safeway,ChIJUTpjVG1LUnkRI1kfoJx-My4,United States,"{'lat': 19.699389, 'lng': -155.0605}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
