,Name,place_id,Address,Coordinates,business_status,types
26,DARKE gallery,ChIJz61BocafP4YRn7bIa0ib59M,"801 East Beach Drive BC 0612, Galveston","{'lat': 29.3158378, 'lng': -94.75467110000001}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
27,Collectors Niche,ChIJraXhaqB5P4YRUfsR2Uwprt4,"2709 Palmer Highway, Texas City","{'lat': 29.3949639, 'lng': -94.9339485}",CLOSED_TEMPORARILY,"['art_gallery', 'point_of_interest', 'establishment']"
28,Fish With Attitude by Mike Quinn,ChIJTXNacUWAQIYRh39DYGRw8Us,"6213 Avenue M, Santa Fe","{'lat': 29.3550326, 'lng': -95.0888871}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
29,Galveston RV Resort and Marina,ChIJvYAdXUmcP4YRWejOGTrTLTw,"6310 Heards Lane, Galveston","{'lat': 29.2787925, 'lng': -94.8350109}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
30,Stella Mare RV Resort,ChIJJ9nsR6acP4YRxhVxoPJEOJI,"3418 Stella Mare Lane Lot 98, Galveston","{'lat': 29.2405186, 'lng': -94.8816109}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
31,Tiki Tom's RV Park,ChIJv2ONzseCP4YR8r1MAs0S-uw,"333 Jones Lake Road, Galveston","{'lat': 29.3031502, 'lng': -94.90392170000001}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
32,Jamaica Beach RV Park,ChIJqywrxXuGP4YRfI0sAOX6We8,"17200 Termini-San Luis Pass Road, Galveston","{'lat': 29.1789996, 'lng': -94.9817956}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
33,Texas Campgrounds Club,ChIJB-CrtniGP4YRhdMq1S4ruwE,"18100 Termini-San Luis Pass Road, Galveston","{'lat': 29.1713063, 'lng': -94.9915121}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
34,Sunset Harbor RV & Mobile Home Park,ChIJC87ohDl5P4YRFezttE8RSoI,"634 North Pine Road, Texas City","{'lat': 29.3902119, 'lng': -94.96421099999999}",OPERATIONAL,"['campground', 'rv_park', 'travel_agency', 'real_estate_agency', 'park', 'lodging', 'point_of_interest', 'establishment']"
35,Galveston Island KOA Holiday,ChIJ0e-k-6Z3QIYRkgdSgURUxmQ,"23700 Termini-San Luis Pass Road, Galveston","{'lat': 29.1220283, 'lng': -95.07344959999999}",OPERATIONAL,"['campground', 'rv_park', 'park', 'lodging', 'point_of_interest', 'establishment']"
36,Lazy D RV Resort,ChIJT6HZtqd_P4YRuRaBRiFyDEY,"6202 Delany Road, Hitchcock","{'lat': 29.3569126, 'lng': -95.0226058}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
37,Little Thicket RV Park,ChIJk97jtuJ-P4YRM3b9xEnHHdU,"408 Volney Street, La Marque","{'lat': 29.3718581, 'lng': -95.0069245}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
38,Bay Side Campsite,ChIJO6_B12uFP4YRTvQWHVICRvU,Galveston,"{'lat': 29.2106105, 'lng': -94.9553701}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
39,Galveston,ChIJh6WYMzudP4YR4-E8Q8xkZOc,"6702 Seawall Boulevard, Galveston","{'lat': 29.2651551, 'lng': -94.83295439999999}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
40,Tiki Island Park,ChIJ_x4L6UuDP4YRicq_lbR_MHE,"Tiki Drive, Tiki Island","{'lat': 29.2970476, 'lng': -94.9145461}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
41,Bayside Mobile Home Park,ChIJGzIdDs54P4YRmqrDYN2qZzA,"1818 Main Street, La Marque","{'lat': 29.3593559, 'lng': -94.97107690000001}",OPERATIONAL,"['campground', 'rv_park', 'travel_agency', 'real_estate_agency', 'park', 'lodging', 'point_of_interest', 'establishment']"
42,Highland Village Mobile Home Park,ChIJe9vJb7N_P4YRCRDHjwqfO1U,"5500 Farm to Market 2004, Hitchcock","{'lat': 29.367576, 'lng': -95.033064}",OPERATIONAL,"['campground', 'rv_park', 'park', 'lodging', 'point_of_interest', 'establishment']"
43,USA RV park,ChIJrT3ID49_P4YRNH7BigU7BfI,"4314 Farm to Market 2004, Texas City","{'lat': 29.384034, 'lng': -95.01388490000001}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
44,Enterprise Rent-A-Car,ChIJcajIOLSdP4YRat29hIStj68,"5919 Broadway Avenue J, Galveston","{'lat': 29.2881934, 'lng': -94.8350507}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']"
45,Alans Errands,ChIJe_TEebd_P4YRMD2JEXvOQTA,"206 North Bayou Drive, Hitchcock","{'lat': 29.3586824, 'lng': -95.0357397}",OPERATIONAL,"['car_rental', 'food', 'point_of_interest', 'establishment']"
46,Avis Car Rental,ChIJgzxoeXB-P4YR3wW2mdpS40Q,"Gulfway Plaza Shopping Center, 14031 Delany Road, La Marque","{'lat': 29.386089, 'lng': -95.018153}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']"
47,Enterprise Rent-A-Car,ChIJdUhuPQt5P4YRSqRqam690XU,"2925 Palmer Highway Ste A, Texas City","{'lat': 29.3949636, 'lng': -94.9383938}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']"
48,Cars and Carts Galveston,ChIJl7Vj-eefP4YRbmiP_tQ8ccQ,"2402 Seawall Boulevard, Galveston","{'lat': 29.2890817, 'lng': -94.7897034}",OPERATIONAL,"['car_rental', 'car_dealer', 'store', 'point_of_interest', 'establishment']"
49,Galveston Convertible Rentals,ChIJ4WdE8jSfP4YRHOkbmey8h8g,"2121 Market Street # 211, Galveston","{'lat': 29.3055877, 'lng': -94.7921841}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']"
50,Budget Truck Rental,ChIJ6aWKDFp_P4YR38g2BWW1u8s,"14031 Delany Road, La Marque","{'lat': 29.386107, 'lng': -95.01813399999999}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']"
51,Budget Car Rental,ChIJ68k4GAx_P4YRRiwQwFl2mBs,"14031 Delany Road, La Marque","{'lat': 29.386127, 'lng': -95.01810499999999}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']"
52,Rosenberg Library,ChIJd_oAD2meP4YRMEcPxYVYVgc,"2310 Sealy Avenue, Galveston","{'lat': 29.3011526, 'lng': -94.79298949999999}",OPERATIONAL,"['library', 'museum', 'point_of_interest', 'establishment']"
53,Ocean Star Offshore Drilling Rig and Museum,ChIJK_JXPRWeP4YRWCogB9_VdYM,"2002 Wharf Road, Galveston","{'lat': 29.3104255, 'lng': -94.7917377}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
54,Galveston Railroad Museum,ChIJq6Ry72yeP4YR18HZh2uwii4,"2602 Santa Fe Place, Galveston","{'lat': 29.3061047, 'lng': -94.7985082}",OPERATIONAL,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
55,Galveston Historic Seaport - Home of the 1877 Tall Ship ELISSA,ChIJgbYQ1RSeP4YRZKEdJgqACmg,"Pier 22 Suite, 8, Galveston","{'lat': 29.3090547, 'lng': -94.7933003}",OPERATIONAL,"['museum', 'tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']"
56,Central Cultural Center,ChIJBQ-W5mWeP4YRK7JGXBylRF8,"2627 Avenue M, Galveston","{'lat': 29.2961096, 'lng': -94.7953872}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
57,Discovery Pyramid,ChIJh0sN7vicP4YRFQNgezniSYY,Galveston,"{'lat': 29.2757148, 'lng': -94.85376509999999}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
58,Galveston Children's Museum,ChIJ-XKaUqDJXRQRfI54klTuetM,"2618 Broadway Avenue J, Galveston","{'lat': 29.2993997, 'lng': -94.7962228}",OPERATIONAL,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
59,Segcity Segway Galveston Tours,ChIJgcZ7klueP4YRPk9klZ5tolk,"519 25th Street, Galveston","{'lat': 29.303251, 'lng': -94.79588}",OPERATIONAL,"['tourist_attraction', 'travel_agency', 'museum', 'point_of_interest', 'establishment']"
60,The Bryan Museum,ChIJsX_dTF2eP4YRzicsOO2A-mA,"1315 21st Street, Galveston","{'lat': 29.2974184, 'lng': -94.7890034}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
61,Galveston County Historical Museum,ChIJu3985WyeP4YRE5Kc_3TjtNI,"722 Moody Avenue, Galveston","{'lat': 29.3035162, 'lng': -94.7890341}",OPERATIONAL,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
62,Davison Home At Heritage Square Park,ChIJA9LFJdh5P4YRTejEcf_vMO0,"109 3rd Avenue North, Texas City","{'lat': 29.386746, 'lng': -94.8954116}",OPERATIONAL,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
63,Moody Mansion,ChIJe-7sIm-eP4YRBBIA7ZYV-ww,"2618 Broadway Avenue J, Galveston","{'lat': 29.2995337, 'lng': -94.79627669999999}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
64,Texas City Museum,ChIJ42mA3tp5P4YRq6GpMs8LBIY,"409 6th Street North, Texas City","{'lat': 29.3885559, 'lng': -94.90289589999999}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
65,Menard House,ChIJK1c8fXueP4YRxjOd7w0YRr0,"1605 33rd Street, Galveston","{'lat': 29.2914014, 'lng': -94.8020822}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
66,Kindness Project Murals,ChIJm1A-hv6dP4YR_N-UpHES_QQ,"22nd &, Avenue East, Galveston","{'lat': 29.2967318, 'lng': -94.8234384}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
67,African-American Museum,ChIJv0rCUHeeP4YRcYlzGoIpJgk,"3427 Sealy Avenue, Galveston","{'lat': 29.2973585, 'lng': -94.80596249999999}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
68,Kempner Park Monument,ChIJGzfS-xyfP4YRcme_0J2Ynao,"3510-0040-1000, 001, Galveston","{'lat': 29.2937221, 'lng': -94.795386}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
69,Castillo. Bishop,ChIJR_lAM86fP4YREenrhqcvOwE,Galveston,"{'lat': 29.3013582, 'lng': -94.7977277}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
70,World War II Memorial Monument,ChIJy186UmieP4YRHlB8-4GDz3c,"23rd St &, Broadway Avenue J, Galveston","{'lat': 29.3001509, 'lng': -94.79182540000001}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
71,Old Santa Fe Union Station,ChIJebwkVaSfP4YR2MuwD_Q0QcA,"123 Rosenberg Street, Galveston","{'lat': 29.3065492, 'lng': -94.79703719999999}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
72,Texas Seaport Museum,ChIJBUOPnRCfP4YRUcSU7l4f8Sw,"2200 Wharf Road, Galveston","{'lat': 29.3091077, 'lng': -94.7934847}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
73,Galveston Trolley Station,ChIJl3BA-wCfP4YRPbbQLpjem-Y,"413-499 20th Street, Galveston","{'lat': 29.3059102, 'lng': -94.79019939999999}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
74,JC League House,ChIJpaaWxJqfP4YRr_1_k12LfYg,"1702 Broadway Avenue J, Galveston","{'lat': 29.3022075, 'lng': -94.78562439999999}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
75,Galveston Unscripted Podcast | Audio Tour,ChIJy0DqRjar5K8R7ufTWhS3Cok,"100 20th Street, Galveston","{'lat': 29.3087443, 'lng': -94.7908921}",OPERATIONAL,"['tourist_attraction', 'travel_agency', 'museum', 'point_of_interest', 'establishment']"
76,the 1892 Bishop's Palace,ChIJD1MXMDmfP4YRMzAkc7N648s,"1402 Broadway Avenue J, Galveston","{'lat': 29.3030602, 'lng': -94.7821467}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
77,Galveston Naval Museum,ChIJ19QI2WueP4YRItU58YB2g8A,"100 Seawolf Park Boulevard, Galveston","{'lat': 29.3344846, 'lng': -94.7794048}",OPERATIONAL,"['tourist_attraction', 'park', 'museum', 'point_of_interest', 'establishment']"
78,The Garden Cat Cottage,ChIJ0-YIyCV_P4YRyizhNaT2fwA,"56 Borondo Pines, La Marque","{'lat': 29.3551869, 'lng': -94.9913933}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
79,Angel wings on 6th street,ChIJm4xXPAd5P4YRMpHNprc8aAA,"628 4th Avenue North, Texas City","{'lat': 29.3885601, 'lng': -94.9038506}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
80,East Beach,ChIJlwJqRhSfP4YRk_8rHl0UTkw,"1837 East Beach Street, Galveston","{'lat': 29.3212194, 'lng': -94.74760479999999}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']"
81,Wendell's Corner,ChIJWZkO4193P4YRkbsVNsI0l50,"1300-1398 Bay Street North, Texas City","{'lat': 29.3980274, 'lng': -94.89437099999999}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
82,Balboa park,ChIJp8JP-61U2YARbfnzO-KWumY,"52-0 Highway 6, Hitchcock","{'lat': 29.35462009999999, 'lng': -95.0368381}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
83,Galveston County Veterans Memorial,ChIJIVmzwsl_P4YR9s4TrMeQAfI,"10 Jack Brooks Road, Hitchcock","{'lat': 29.3621034, 'lng': -95.03970749999999}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
84,Hitchcock Depot & Museum,ChIJrVL5pi2AQIYRPRTiSQlpb-c,"11225 Highway 6, Santa Fe","{'lat': 29.365226, 'lng': -95.06850759999999}",CLOSED_TEMPORARILY,"['museum', 'point_of_interest', 'establishment']"
85,"The San Luis Resort, Spa and Conference Center",ChIJM2DDqiicP4YRzmTRP5ykTBk,"5222 Seawall Boulevard, Galveston","{'lat': 29.2725405, 'lng': -94.8182391}",OPERATIONAL,"['lodging', 'night_club', 'bar', 'point_of_interest', 'establishment']"
86,B. Jiggers Lounge,ChIJjTmX7yWcP4YRc24-LdykQ0Q,"5002 Seawall Boulevard, Galveston","{'lat': 29.27250129999999, 'lng': -94.81666829999999}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
87,Ocean Cabaret,ChIJm_X3zpLCT4YR07YRlPho3Us,"1244 Gulf Freeway, Texas City","{'lat': 29.31625559999999, 'lng': -94.91327079999999}",OPERATIONAL,"['night_club', 'point_of_interest', 'establishment']"
88,Carlos Cabeza Cigar Shop,ChIJC4Dyq22eP4YRnXLxDia8cGg,"318 27th Street, Galveston","{'lat': 29.3044979, 'lng': -94.7984292}",OPERATIONAL,"['night_club', 'store', 'bar', 'point_of_interest', 'establishment']"
89,23rd Street Station Piano Bar,ChIJS2DRjl2eP4YRjmT6wtMVxKs,"1706 23rd Street, Galveston","{'lat': 29.29370280000001, 'lng': -94.7894671}",OPERATIONAL,"['bar', 'night_club', 'point_of_interest', 'establishment']"
90,Sound Bar,ChIJNdSPfGyeP4YRt92kqxMtMiY,"2411 Mechanic Street, Galveston","{'lat': 29.3056645, 'lng': -94.7955784}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
91,Murphy's Pub,ChIJ65SjF2ueP4YR-5BAPiDlgYw,"213-215 22nd Street, Galveston","{'lat': 29.3067907, 'lng': -94.7932415}",OPERATIONAL,"['bar', 'night_club', 'point_of_interest', 'establishment']"
92,"Fraternal Order Of Eagles Aerie 3789, Inc.",ChIJRWD4G0iAQIYR5vslAFwygaQ,"6101 Farm to Market Road 646, Santa Fe","{'lat': 29.3561866, 'lng': -95.0805656}",OPERATIONAL,"['night_club', 'point_of_interest', 'establishment']"
93,Buckshot Saloon,ChIJZaO0dWyeP4YR7honoF0FNJ8,"2409 Market Street, Galveston","{'lat': 29.3047222, 'lng': -94.7952778}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
94,Island Pier Club,ChIJYbS8E1ueP4YR_JYZ4C49Xno,"1702 Avenue O, Galveston","{'lat': 29.29581310000001, 'lng': -94.78322290000001}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
95,"Galveston Island Cigar Lounge, LLC",ChIJQYy3RoadP4YRbcb5SPZLkQ8,"1813 61st Street, Galveston","{'lat': 29.2804928, 'lng': -94.8340441}",OPERATIONAL,"['night_club', 'store', 'bar', 'point_of_interest', 'establishment']"
96,Island spot Hookah Lounge & Grill (Halal),ChIJzSW48audP4YRFRsMdMUy-hs,"1017 61st Street, Galveston","{'lat': 29.28729819999999, 'lng': -94.83770000000001}",OPERATIONAL,"['restaurant', 'cafe', 'food', 'night_club', 'store', 'bar', 'point_of_interest', 'establishment']"
97,Kemistry,ChIJK81CHCWXQIYR9ZaVou2MGXY,"4927 Broadway Avenue J, Galveston","{'lat': 29.2917306, 'lng': -94.8226876}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
98,Tea'ze Daiquiris To Go,ChIJ280GuYOeP4YR4dwm_FhveBU,"4110 Seawall Boulevard, Galveston","{'lat': 29.2778682, 'lng': -94.80721539999999}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
99,Isla Bonita,ChIJ-dlHodedP4YRYeHEadeqhA0,"4102 Broadway Avenue J, Galveston","{'lat': 29.2948926, 'lng': -94.81292669999999}",OPERATIONAL,"['night_club', 'point_of_interest', 'establishment']"
100,Maze,ChIJ3csrDqmfP4YRuzAIBG9jZZk,"201 26th Street Suite 1, Galveston","{'lat': 29.3055559, 'lng': -94.7979105}",OPERATIONAL,"['night_club', 'point_of_interest', 'establishment']"
101,Bucks Bar,ChIJZaO0dWyeP4YRi7ua_cZga3g,"2409 Market Street, Galveston","{'lat': 29.304828, 'lng': -94.795262}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
102,Diana’s Bartique,ChIJRfms0xOfP4YRB8rkOHoLSF4,"2425 The Strand Suite 100, Galveston","{'lat': 29.30651049999999, 'lng': -94.796433}",OPERATIONAL,"['bar', 'clothing_store', 'night_club', 'store', 'point_of_interest', 'establishment']"
103,Envy Dance Club,ChIJqbIHkmyeP4YR2ik_tJ7ocEc,"2413 The Strand Suite A, Galveston","{'lat': 29.30645530000001, 'lng': -94.7960169}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']"
104,The Rooftop Bar,ChIJBYhEZDWfP4YRWJ-24yxX-ME,"2300 Ship Mechanic Row Street, Galveston","{'lat': 29.3062164, 'lng': -94.7948095}",CLOSED_TEMPORARILY,"['bar', 'night_club', 'point_of_interest', 'establishment']"
105,"Moody Gardens Hotel, Spa and Convention Center",ChIJxYErN1acP4YRF-NdttN9Dt0,"7 Hope Boulevard, Galveston","{'lat': 29.2732558, 'lng': -94.8491468}",OPERATIONAL,"['spa', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']"
106,LuLu's The Salon & Spa,ChIJ-8Xs6S-cP4YR_6kzSQiJNBM,"5205 Avenue U, Galveston","{'lat': 29.2742473, 'lng': -94.81987319999999}",OPERATIONAL,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']"
107,"Total Balance Health & Wellness By Tonie Wingate, LMT",ChIJyVgHpEicP4YRNWLcHF5pLNg,"2829 North Sonny Lane, Galveston","{'lat': 29.2372637, 'lng': -94.9055355}",OPERATIONAL,"['spa', 'point_of_interest', 'establishment']"
