area,raw_stop_counts,raw_device_counts,distance_from_home,distance_from_primary_daytime_location,median_dwell,year
150010201001,4080.4166666666665,751.5,22851.0,22067.833333333332,102.04027777777777,2019.0
150010201002,3658.1666666666665,874.25,3948287.25,3973250.6666666665,76.46111111111111,2019.0
150010201003,2547.8333333333335,699.5,1425286.25,1473583.5,44.125,2019.0
150010201004,3291.0,462.4166666666667,11235.416666666666,10932.083333333334,135.8423611111111,2019.0
150010202021,2945.0833333333335,717.0,21168.333333333332,20367.583333333332,46.581250000000004,2019.0
150010202022,3561.5,648.9166666666666,15454.583333333334,12003.083333333334,97.3888888888889,2019.0
150010203001,9368.666666666666,2123.25,362043.0,364912.0,58.19097222222222,2019.0
150010203002,7414.833333333333,2099.25,20522.083333333332,19249.5,66.5625,2019.0
150010203003,20359.083333333332,4238.25,24687.916666666668,24893.666666666668,32.30347222222222,2019.0
150010204001,16785.25,3499.1666666666665,18569.833333333332,16574.0,22.791666666666668,2019.0
150010204002,3953.6666666666665,1099.0,9144.083333333334,5403.416666666667,44.77291666666667,2019.0
150010204003,3775.25,536.6666666666666,3021.9166666666665,2717.8333333333335,145.62847222222223,2019.0
150010204004,11868.833333333334,4245.5,1135.0833333333333,1421.0,95.22430555555557,2019.0
150010205001,16551.25,3948.5833333333335,21881.75,21147.666666666668,30.037499999999998,2019.0
150010205002,3912.0,1046.9166666666667,12267.0,7686.583333333333,54.697916666666664,2019.0
150010205003,8052.5,2038.4166666666667,12841.416666666666,8452.5,33.52291666666667,2019.0
150010205004,16071.0,2032.0,11420.0,6631.0,51.99583333333333,2019.0
150010205005,14805.083333333334,1787.8333333333333,6751.75,4813.916666666667,67.48958333333333,2019.0
150010206001,20343.416666666668,4520.833333333333,100767.91666666667,101734.0,37.16111111111111,2019.0
150010206002,19609.666666666668,3622.3333333333335,22924.833333333332,23749.666666666668,35.577777777777776,2019.0
150010206003,5438.416666666667,596.5833333333334,7548.333333333333,6470.333333333333,76.19583333333334,2019.0
150010206004,46810.083333333336,5787.583333333333,19047.666666666668,18308.833333333332,23.07569444444444,2019.0
150010207011,18018.75,3644.0833333333335,15383.5,13831.5,21.230555555555554,2019.0
150010207012,6645.25,1146.4166666666667,7761.25,6032.583333333333,54.68055555555555,2019.0
150010207013,3382.5833333333335,427.5,4233.166666666667,3827.3333333333335,151.24166666666667,2019.0
150010207021,4054.8333333333335,358.0,3482.6666666666665,4381.25,195.60208333333333,2019.0
150010207022,4079.0833333333335,600.3333333333334,4091.1666666666665,4401.0,135.0625,2019.0
150010207023,3155.9166666666665,379.0833333333333,4190.0,4391.5,131.4,2019.0
150010208011,11211.833333333334,2313.5833333333335,5272.583333333333,6276.5,100.74583333333334,2019.0
150010208012,10171.0,2480.3333333333335,1344.25,2239.5833333333335,114.68124999999999,2019.0
150010208021,3571.5833333333335,565.9166666666666,6193.666666666667,5813.916666666667,91.27708333333334,2019.0
150010208022,6169.25,828.4166666666666,4489.583333333333,4287.333333333333,118.6076388888889,2019.0
150010208023,861.8333333333334,125.16666666666667,5228.166666666667,5239.333333333333,158.98888888888888,2019.0
150010208024,5090.0,665.4166666666666,7648.333333333333,7865.25,152.40416666666667,2019.0
150010209001,2649.75,573.25,14516.5,13954.666666666666,68.51180555555555,2019.0
150010209002,2510.0833333333335,276.5,4769.416666666667,5025.833333333333,163.91458333333333,2019.0
150010209003,7340.166666666667,813.5833333333334,5825.166666666667,6579.166666666667,119.09513888888888,2019.0
150010210031,5676.083333333333,879.75,5055.75,7364.083333333333,94.67430555555556,2019.0
150010210032,4898.5,579.5,5853.833333333333,8431.75,188.79791666666665,2019.0
150010210033,8231.0,870.0,6050.5,8666.916666666666,198.07430555555553,2019.0
150010210051,6003.0,761.0,7660.5,10379.916666666666,149.3326388888889,2019.0
150010210052,5931.833333333333,737.4166666666666,5731.416666666667,9420.083333333334,153.1263888888889,2019.0
150010210053,14321.583333333334,2373.0,5778.916666666667,12544.666666666666,163.07569444444445,2019.0
150010210054,7229.833333333333,824.5,4689.166666666667,7775.416666666667,187.7847222222222,2019.0
150010210101,5892.0,813.6666666666666,26805.0,30719.75,171.78263888888887,2019.0
150010210102,6695.583333333333,830.5,9649.666666666666,11793.583333333334,175.0041666666667,2019.0
150010210103,5317.833333333333,714.0,35851.916666666664,37389.083333333336,194.97152777777777,2019.0
150010210111,6468.166666666667,1273.6666666666667,383998.8333333333,398964.8333333333,98.47986111111112,2019.0
150010210112,4302.833333333333,543.6666666666666,9156.666666666666,11811.25,165.0,2019.0
150010210131,15102.583333333334,2588.0833333333335,12266.0,12142.0,21.999305555555555,2019.0
150010210132,11770.083333333334,1316.5,10822.5,10963.0,60.47013888888889,2019.0
150010210133,8559.25,1621.4166666666667,10585.75,11560.166666666666,56.238194444444446,2019.0
150010211011,4791.916666666667,688.25,19203.25,22478.5,142.55416666666667,2019.0
150010211012,583.5,213.25,423463.3333333333,415747.8333333333,31.52916666666667,2019.0
150010211061,9786.75,1868.8333333333333,15174.416666666666,19603.583333333332,25.779861111111106,2019.0
150010211062,4484.5,547.4166666666666,6865.333333333333,8743.666666666666,173.64236111111111,2019.0
150010211063,7028.916666666667,970.9166666666666,7599.583333333333,9686.5,148.34375,2019.0
150010211064,4788.833333333333,1108.0,10697.916666666666,17265.75,131.87291666666667,2019.0
150010212021,12041.5,2375.3333333333335,4010477.25,4071696.5833333335,41.009027777777774,2019.0
150010212022,12556.666666666666,2181.5833333333335,738718.5,1064588.4166666667,74.30486111111111,2019.0
