,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
66,ParkPostOffice.com,"1913 Postoffice Street, Galveston","{'lat': 29.305386, 'lng': -94.789312}","ParkPostOffice.com1913 Postoffice Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
69,Ampco System Parking,"Parking lot, 2200 Harborside Drive, Galveston","{'lat': 29.3090517, 'lng': -94.7935826}","Ampco System ParkingParking lot, 2200 Harborside Drive, Galveston","Parking utmb365-379 11th Street, Galveston",86
70,208 22nd St Parking,"208 22nd Street, Galveston","{'lat': 29.3071309, 'lng': -94.7933944}","208 22nd St Parking208 22nd Street, Galveston","144 22nd St Parking144 22nd Street, Galveston",87
71,SP+ Parking,"101 Kempner Street, Galveston","{'lat': 29.3080382, 'lng': -94.7937566}","SP+ Parking101 Kempner Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
72,The Strand,"101 Kempner Street, Galveston","{'lat': 29.3079993, 'lng': -94.79377600000001}","The Strand101 Kempner Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
73,2027 Post Office St Parking,"540 Moody Avenue, Galveston","{'lat': 29.30494959999999, 'lng': -94.79084530000002}","2027 Post Office St Parking540 Moody Avenue, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
76,Pier 21 - Lot 4,"Parking lot, 65 22nd Street, Galveston","{'lat': 29.3083642, 'lng': -94.7944077}","Pier 21 - Lot 4Parking lot, 65 22nd Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
78,Pier 21 Lot 5,"2300 Harborside Drive, Galveston","{'lat': 29.3081405, 'lng': -94.7950123}","Pier 21 Lot 52300 Harborside Drive, Galveston","Pier 212100 Harborside Drive, Galveston",90
101,Suderman Stevedores,"37 Pier 21, Galveston","{'lat': 29.3096285, 'lng': -94.7927457}","Suderman Stevedores37 Pier 21, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
104,Port Of Galveston Parking & Cruise Terminals,"123 Rosenberg Street, Galveston","{'lat': 29.3065514, 'lng': -94.79707649999999}","Port Of Galveston Parking & Cruise Terminals123 Rosenberg Street, Galveston",Parking lotGalveston,86
105,EZ Cruise Parking,"2727 Santa Fe Place, Galveston","{'lat': 29.3055923, 'lng': -94.7982536}","EZ Cruise Parking2727 Santa Fe Place, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
106,81st Dolphin Parking,"2801 Market Street, Galveston","{'lat': 29.3036021, 'lng': -94.7997881}","81st Dolphin Parking2801 Market Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
107,Cruise Park,"2815 Harborside Drive, Galveston","{'lat': 29.3060306, 'lng': -94.8009659}","Cruise Park2815 Harborside Drive, Galveston","Marlin Cruise Parking8115 Harborside Drive, Galveston",88
108,Galveston Cruise Parking - Lighthouse Cruise Parking,"325 29th Street, Galveston","{'lat': 29.3039505, 'lng': -94.80134749999999}","Galveston Cruise Parking - Lighthouse Cruise Parking325 29th Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
109,Galveston Park N Cruise,"2514 New Strand Street, Galveston","{'lat': 29.3070454, 'lng': -94.797454}","Galveston Park N Cruise2514 New Strand Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
110,P4003,"2300 Ship Mechanic Row Street, Galveston","{'lat': 29.3062136, 'lng': -94.7948085}","P40032300 Ship Mechanic Row Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
111,Official Port of Galveston - Lot B,"224 33rd Street, Galveston","{'lat': 29.3034288, 'lng': -94.80549330000001}","Official Port of Galveston - Lot B224 33rd Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
114,Lighthouse parking Lot 3,"2801 Market Street, Galveston","{'lat': 29.3036021, 'lng': -94.7997881}","Lighthouse parking Lot 32801 Market Street, Galveston",Parking lotGalveston,86
115,Cruise Parking Express Lot,"106 28th Street, Galveston","{'lat': 29.3072849, 'lng': -94.8010348}","Cruise Parking Express Lot106 28th Street, Galveston",Parking lotGalveston,86
116,Galveston wharfs,"303 31st Street, Galveston","{'lat': 29.3044129, 'lng': -94.8032672}","Galveston wharfs303 31st Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
117,Port of Galveston Express Lot Cruise Parking,"2702 Harborside Drive, Galveston","{'lat': 29.3074851, 'lng': -94.8003865}","Port of Galveston Express Lot Cruise Parking2702 Harborside Drive, Galveston","Port of Galveston Pier 25 Cruise Parking2502 Harborside Drive, Galveston",91
118,225 25th St Parking,"225 25th Street, Galveston","{'lat': 29.3058168, 'lng': -94.79687899999999}","225 25th St Parking225 25th Street, Galveston","484 25th St Parking484 25th Street, Galveston",87
119,Galv Park,"201 Rosenberg Street, Galveston","{'lat': 29.305824, 'lng': -94.79682}","Galv Park201 Rosenberg Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
120,Lot А - Port Of Galveston Cruise Parking,"150 33rd Street, Galveston","{'lat': 29.3051314, 'lng': -94.8040417}","Lot А - Port Of Galveston Cruise Parking150 33rd Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
121,Galveston VIP Cruise Parking,"111 Rosenberg Street, Galveston","{'lat': 29.3071013, 'lng': -94.7972231}","Galveston VIP Cruise Parking111 Rosenberg Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
122,600 26th St Parking,"600 26th Street, Galveston","{'lat': 29.3021002, 'lng': -94.797186}","600 26th St Parking600 26th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
123,Official Port of Galveston SMP Cruise Parking Garage,"150 Rosenberg Street, Galveston","{'lat': 29.30724489999999, 'lng': -94.79675999999999}","Official Port of Galveston SMP Cruise Parking Garage150 Rosenberg Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
124,484 25th St Parking,"484 25th Street, Galveston","{'lat': 29.3042627, 'lng': -94.7955513}","484 25th St Parking484 25th Street, Galveston","225 25th St Parking225 25th Street, Galveston",87
125,25th St & Avenue E Parking,"488 25th Street, Galveston","{'lat': 29.3042627, 'lng': -94.7955513}","25th St & Avenue E Parking488 25th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
127,SMP Garage,"146 25th Street, Galveston","{'lat': 29.3073498, 'lng': -94.79630689999999}","SMP Garage146 25th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
128,Parking Area,"224 33rd Street, Galveston","{'lat': 29.3034356, 'lng': -94.8054947}","Parking Area224 33rd Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
129,Galv Park,"2401 Postoffice Street, Galveston","{'lat': 29.30403159999999, 'lng': -94.7947495}","Galv Park2401 Postoffice Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
131,SP+ Parking,"134 24th Street, Galveston","{'lat': 29.3075284, 'lng': -94.7954196}","SP+ Parking134 24th Street, Galveston","SP+ Parking375 21st Street, Galveston",89
132,The Strand,"137 24th Street, Galveston","{'lat': 29.3076013, 'lng': -94.7954506}","The Strand137 24th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
133,Glaveston Cruise Terminal,"3300 Harborside Drive, Galveston","{'lat': 29.3041619, 'lng': -94.8061477}","Glaveston Cruise Terminal3300 Harborside Drive, Galveston","UTMB 17E113-191 11th Street, Galveston",86
134,Parking,"533 33rd Street, Galveston","{'lat': 29.3018621, 'lng': -94.80524229999999}","Parking533 33rd Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
135,The Strand,"2327 Postoffice St, Galveston","{'lat': 29.3040871, 'lng': -94.79417339999999}","The Strand2327 Postoffice St, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
136,Discount Cruise Parking,"433 33rd Street, Galveston","{'lat': 29.3019206, 'lng': -94.80540810000001}","Discount Cruise Parking433 33rd Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
148,Rosenberg Library Parking,"2315 Avenue H, Galveston","{'lat': 29.30144699999999, 'lng': -94.793363}","Rosenberg Library Parking2315 Avenue H, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
151,2608 Sealy Ave Parking,"2608 Sealy Avenue, Galveston","{'lat': 29.3003026, 'lng': -94.7962016}","2608 Sealy Ave Parking2608 Sealy Avenue, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
153,Premium Parking - P4002,"2024 Seawall Boulevard, Galveston","{'lat': 29.2926587, 'lng': -94.7860973}","Premium Parking - P40022024 Seawall Boulevard, Galveston",Parking lotGalveston,86
155,Hotel Galvez Parking Garage,"1921 21st Street, Galveston","{'lat': 29.2921951, 'lng': -94.7869676}","Hotel Galvez Parking Garage1921 21st Street, Galveston",Parking lotGalveston,86
157,Parking Lot,"3510-0116-2000, #001, Galveston","{'lat': 29.2880608, 'lng': -94.79106469999999}","Parking Lot3510-0116-2000, #001, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
161,Indoor Cruise Parking,"202 37th Street, Galveston","{'lat': 29.3027331, 'lng': -94.8101226}","Indoor Cruise Parking202 37th Street, Galveston","Port Parking202 37th Street, Galveston",88
162,Port Parking,"202 37th Street, Galveston","{'lat': 29.302697, 'lng': -94.809512}","Port Parking202 37th Street, Galveston","Indoor Cruise Parking202 37th Street, Galveston",88
