area,raw_stop_counts,raw_device_counts,distance_from_home,distance_from_primary_daytime_location,median_dwell,year
481677201001,30410.25,4336.083333333333,5604.0,6709.333333333333,90.09166666666665,2019.0
481677201002,6018.5,789.0,4280.583333333333,5853.583333333333,159.50208333333333,2019.0
481677201003,14631.0,2921.8333333333335,5135.583333333333,5784.75,57.49305555555555,2019.0
481677202001,26202.583333333332,4617.0,5517.25,6371.416666666667,79.83333333333333,2019.0
481677202002,27736.583333333332,8020.083333333333,4728.25,5522.416666666667,41.42916666666667,2019.0
481677202003,7331.5,2208.1666666666665,5683.166666666667,6142.416666666667,53.87083333333333,2019.0
481677203011,44345.666666666664,13508.166666666666,4835.833333333333,5663.0,51.81944444444445,2019.0
481677203012,20702.166666666668,5585.333333333333,4357.916666666667,4979.333333333333,44.25902777777778,2019.0
481677203021,14565.5,2221.75,5620.583333333333,7107.666666666667,105.51666666666667,2019.0
481677203022,15162.166666666666,1674.9166666666667,7349.666666666667,8527.583333333334,140.425,2019.0
481677203023,40267.0,2661.5833333333335,4942.583333333333,5716.583333333333,61.70208333333333,2019.0
481677204001,77973.08333333333,9066.25,6381.333333333333,7747.666666666667,69.30416666666666,2019.0
481677204002,17876.083333333332,3035.75,6973.5,7862.333333333333,90.72708333333334,2019.0
481677205011,7303.583333333333,1191.25,4230.0,5598.166666666667,99.34097222222222,2019.0
481677205012,70970.33333333333,7222.166666666667,5938.666666666667,6939.166666666667,45.81527777777777,2019.0
481677205021,14408.75,2197.5,6442.5,7090.5,120.92638888888888,2019.0
481677205022,77886.25,10577.833333333334,8009.166666666667,9135.083333333334,73.7,2019.0
481677205023,16019.583333333334,3160.0,3849.3333333333335,4643.166666666667,46.42083333333333,2019.0
481677205031,46216.833333333336,3528.5833333333335,5698.333333333333,7675.25,147.96319444444444,2019.0
481677205032,14130.416666666666,1241.5,4026.6666666666665,5989.333333333333,176.64027777777778,2019.0
481677205033,67691.75,5988.916666666667,5155.833333333333,6914.0,139.63888888888889,2019.0
481677206001,24826.666666666668,2842.5833333333335,9991.833333333334,11544.0,113.37708333333335,2019.0
481677206002,116491.16666666667,20594.25,12602.833333333334,13680.25,46.89166666666667,2019.0
481677207001,21227.416666666668,7647.0,7913.583333333333,8529.666666666666,36.84444444444444,2019.0
481677207002,57142.166666666664,12384.75,7233.25,7594.416666666667,56.706944444444446,2019.0
481677207003,95231.0,19168.916666666668,10955.416666666666,11788.833333333334,33.68958333333333,2019.0
481677208001,7364.666666666667,1436.4166666666667,7271.833333333333,7882.416666666667,60.100694444444436,2019.0
481677208002,33666.833333333336,10831.916666666666,9545.833333333334,10380.75,24.936111111111114,2019.0
481677208003,4933.083333333333,691.4166666666666,6913.583333333333,8222.333333333334,113.86319444444445,2019.0
