id,name,categories,longitude,latitude,display_address
966Pq0W0kJhWMq2vkeYzpA,Saucy Mama's,"Food Trucks, Tacos, Hawaiian",-155.1076067224073,19.55084145722916,"18-1325 Old Volcano Rd, Inside Garden, Mountain View, HI 96771"
_TurvdX1s0A0Nlbslr62Bg,Duck Fat Food Truck,"Food Trucks, American, Sandwiches",-155.2227874111058,19.673052809354292,"Hilo, HI 96720"
eGwHTtxc6xZlhtQXpMYN-w,Ricos Tacos,"Tacos, Food Trucks",-155.2227874111058,19.673052809354292,"Hilo, HI 96720"
-uvGU-X14pVVIJhAbk5A3Q,Business Services Hawaii,Recycling Center,-155.04942397316916,19.637246939187506,"16-630 Kipimana St, Keaau, HI 96749"
7MlWid3PRl_3vy_DYSiYYA,Crusty Buns,"Food Trucks, Sandwiches, Tacos",-155.2227874111058,19.673052809354292,"Hilo, HI 96720"
WP2ZjFW41wUK0qeilF--dA,Pineapples Island Fresh Cuisine,"New American, Cocktail Bars, Hawaiian",-155.08616,19.72274,"332 Keawe St, Hilo, HI 96720"
tsUTHQj6ZBriKPQZf10DvQ,Jackie Rey's Ohana Grill Hilo,"Seafood, New American, Hawaiian",-155.08826,19.72598,"64 Keawe St, Hilo, HI 96720"
XFxvTsGbRGmQeNqvzRHskw,The Temple Bar,"Wine Bars, Beer Bar, Tapas/Small Plates",-155.0882123753573,19.726321708135565,"64 Keawe St, Ste 102, Hilo, HI 96720"
9qV9988-I90odzitG-G61w,Cafe Pesto Hilo Bay,"Pizza, Italian, Seafood",-155.085017,19.723753,"308 Kamehameha Ave, Ste 101, Hilo, HI 96720"
RDAgAM6lK9JLBXLgAisLWQ,Hilo Bay Cafe,"New American, Hawaiian, Sushi Bars",-155.070454,19.725,"123 Lihiwai St, Hilo, HI 96720"
En05unhZUZOr3QXAxL2EMw,Tina's Garden Cafe,"Thai, New American",-155.086286114896,19.7254413001025,"168 Kamehameha Ave, Hilo, HI 96720"
OCtBAGJ1OJT2NTTvwEw84A,Hawaiian Style Cafe - Hilo,"Hawaiian, Poke, Breakfast & Brunch",-155.06934,19.71287,"681 Manono St, Ste 101, Hilo, HI 96720"
2UPgIdTnV578wCbvBWD_Wg,The Seaside Restaurant and Aqua Farm,"Seafood, Hawaiian, Japanese",-155.02864345560997,19.732615354489692,"1790 Kalanianaole Ave, Hilo, HI 96720"
pRN1FFixO2RgWmPn7Qf94w,Ning's Thai Cuisine,Thai,-154.94505,19.494080996651,"15-2955 Pahoa Village Rd, Pahoa, HI 96778"
4SVrrM9LW7TXrQdBGRSb7Q,Antics Pizza,Pizza,-155.085942,19.720587,"475 Kinoole St, Hilo, HI 96720"
01AxjQvL2CMrl5dql8K0qA,Kaleo's Bar and Grill,"Hawaiian, Burgers",-154.94452,19.49422,"15-2969 Pahoa Village Rd, Pahoa, HI 96778"
InChSt3S4kV75GGp-h1Nqw,The Booch Bar,"Breakfast & Brunch, New American, Coffee & Tea",-155.08780630395222,19.725517165391487,"110 Keawe St, Hilo, HI 96720"
112Hk6sKC-IeVuARSdziZg,Suisan Fish Market,"Seafood Markets, Seafood, Poke",-155.0701728,19.7242201,"93 Lihiwai St, Hilo, HI 96720"
5PGyWhg-MNORHg7hsz3A4w,Ola Brew - Hilo,"Brewpubs, New American, American",-155.07635,19.71218,"1177 Kilauea Ave, Hilo, HI 96720"
VFnjI9z5eoQtSk-Adr4fyA,Hilo Burger Joint,"Burgers, Pubs, American",-155.078912749887,19.716491997242,"776 Kilauea Ave, Hilo, HI 96720"
woTmVDFKON5mEizpCCsZoA,Ken's House Of Pancakes,"Diners, Pancakes",-155.064721,19.722272,"1730 Kamehameha Ave, Hilo, HI 96720"
d5N6OWofKBlng9Rf_OTa9w,Hilo Town Tavern,"Music Venues, American",-155.087535,19.724778,"168 Keawe St, Hilo, HI 96720"
C7wMDYdWEdPuQ35xJ5HlYg,Lam's Garden,"Vietnamese, Chinese",-155.085543880924,19.7221113380498,"172 Kilauea Ave, Hilo, HI 96720"
-0t4y8yxk_fGwsaickfQvQ,Just Cruisin Coffee,"Coffee & Tea, Breakfast & Brunch, Sandwiches",-155.078149,19.716162,"835 Kilauea Ave, Hilo, HI 96720"
4J5mcch0dpVQXjQ0un-_cg,Moon & Turtle,"Seafood, Asian Fusion, Cocktail Bars",-155.08712,19.72525,"51 Kalakaua St, Hilo, HI 96720"
FNvHczaqHmSVIkRWkOH8pw,Popover,"Bakeries, Coffee & Tea, Cafes",-155.065444,19.706178,"399 E Kawili St, Ste 102, Hilo, HI 96720"
y7H7DReVAYaXA8fa0OWfbQ,Onomea Country Market & Cafe,"Fruits & Veggies, Cafes, Shaved Ice",-155.0971922,19.83072044528586,"28-1099 Old Mamalahoa Hwy, Pepeekeo, HI 96783"
uOXn2PwtoSzWL-yga6hU8g,Tetsumen Ramen,"Ramen, Japanese Curry",-155.06965,19.71272,"697 Manono St, Ste 103, Hilo, HI 96720"
Ww3gGByN9JoXbRgppqni_w,New Chiang Mai Thai Cuisine,Thai,-155.0879799,19.72537,"110 Kalakaua St, Hilo, HI 96720"
552xKCBRjbWUYg7KjNGKyQ,Ponds Hilo,"Hawaiian, American",-155.06179,19.72388,"135 Kalanianaole Ave, Hilo, HI 96720"
M5EuSiE5wL3MkJFwY_UlBg,Mohala’s Bayfront Fish & Chips,Fish & Chips,-155.087487845641,19.7262744088841,"50 Waianuenue Ave, Hilo, HI 96720"
xihViAqiP3xFQ9HCM0xs7A,Kawamoto Store,"Japanese, Hawaiian, Sushi Bars",-155.0789752,19.71636259372185,"784 Kilauea Ave, Hilo, HI 96720"
Tv_r4BLyn9iqQFZv_oj4eg,Restaurant Kenichi,"Asian Fusion, Japanese, Korean",-155.08006,19.717235,"684 Kilauea Ave, Hilo, HI 96720"
4xrjl8x-H5yWyXy_8-C50Q,Papajacs,New American,-155.0868,19.72609,"116 Kamehameha Ave, Hilo, HI 96720"
8FCdWyHsgom16-62If_wiQ,Pahoa Fresh Fish,"Fish & Chips, Seafood",-154.957336932421,19.5049859270427,"15-2670 Pahoa Village Rd, Pahoa, HI 96778"
966Pq0W0kJhWMq2vkeYzpA,Saucy Mama's,"Food Trucks, Tacos, Hawaiian",-155.1076067224073,19.55084145722916,"18-1325 Old Volcano Rd, Inside Garden, Mountain View, HI 96771"
leHeObOxvWOL9ZyeRJf7NA,Kamana Kitchen,Indian,-155.075672920707,19.7107785686731,"1235 Kilauea Ave, Ste 180, Hilo, HI 96720"
93hox2tnmGYqvWuOKmqJfg,Puka Puka Kitchen,"Asian Fusion, Mediterranean",-155.0856824,19.724236,"270 Kamehameha Ave, Hilo, HI 96720"
2LggrGknJRCI-kmUPxAQmg,Akaka Falls State Park,Parks,-155.152272242078,19.8538409556301,"Akaka Falls Rd, Honomu, HI 96728"
lvkvRcNQBg-p0hShvq5JPw,What's Shakin',"Breakfast & Brunch, American",-155.095225,19.824328,"27-999 Old Mamalahoa Hwy, Pepeekeo, HI 96783"
xNeqZRPYSRu5A-_Zc8h6jw,Takenoko Sushi,"Japanese, Sushi Bars",-155.06875185244402,19.712757812177024,"578 Hinano St, Manono Street Marketplace, Hilo, HI 96720"
xYubLEHun5RWq588kUfM0g,Sweet Cane Cafe,"Sandwiches, Acai Bowls, Cafes",-155.078019,19.710195,"48 Kamana St, Hilo, HI 96720"
7y8ig0LkdfDKz8gtaAtUSg,Naung Mai Thai Kitchen,"Thai, Vegetarian, Gluten-Free",-155.08672,19.72271,"86 Kilauea Ave, Hilo, HI 96720"
m7P7_44_awlR6XvAg31ctg,Paul's Place,"Breakfast & Brunch, Coffee & Tea",-155.084259033203,19.7226009368896,"132 Punahoa St, Hilo, HI 96720"
p_FBPdQYXSZZc0JXvNoUvg,Tacos Jalisco,"Food Trucks, Mexican",-155.0745291535396,19.71195814005112,"277 Kekuanaoa St, Hilo, HI 96720"
EVW8HP17PNiHr8Z0iaj5sg,Van Vietnamese Cuisine,Vietnamese,-155.0824403,19.720312244236048,"419 Kilauea Ave, Hilo, HI 96720"
i6105ZeRHPxpWwKdFlk0ZQ,Moms,"Japanese, Salad, Sushi Bars",-155.087565,19.724564,"190 Keawe St, Ste 10, Hilo, HI 96720"
vyNiHr7sczqpjU8QgDf8PQ,Vibe,Cafes,-155.06469,19.70785,"750 Kanoelehua Ave, Ste 101, Hilo, HI 96720"
qT6WDrbGdVIFMgqm0RXxDg,Pele's Kitchen,"Breakfast & Brunch, American, Hawaiian",-154.9459704460327,19.49399261301141,"15-2929 Pahoa Village Rd, Pahoa, HI 96778"
7RusJO6qjOsJ6lqTUoyu4Q,Panchos Tacos,"Tacos, Food Trucks",-154.9454773,19.4937404,"15-2942 Pahoa Village Rd, Pahoa, HI 96778"
InHzfw4JsmuHhpqgJ5BnkA,Hilo Pizza Company,"Pizza, Salad",-155.0668768630894,19.69111019902378,"2100 Kanoelehua Ave, Ste B-11, Hilo, HI 96720"
GYIw7VuVIe7tvUVWl5Dlsw,Da Beans Green Cafe & Kava Lounge,"Coffee & Tea, Cafes, Breakfast & Brunch",-155.13381,19.52819,"17-937 Volcano Rd, Mountain View, HI 96771"
ErVxMKIWspnupaKyI2Tagw,Coco Cantina,"Mexican, Cocktail Bars, Burgers",-154.95597595276112,19.503319930245443,"15-2714 Pahoa Village Rd, Ste I-3, Pāhoa, HI 96778"
0_-y333YTUX_gzyMIHNn7A,Liliuokalani Gardens,Parks,-155.067476481199,19.7272704541683,"191 Lihiwai St, Hilo, HI 96720"
7g70rskPnbsr9ZqKoWHYIA,Don's Grill,American,-155.06825,19.71534,"485 Hinano St, Hilo, HI 96720"
iez1hr1GAD80OiIfZjWkaA,Cafe 100,"Hawaiian, Burgers, Fast Food",-155.0772299,19.71427,"969 Kilauea Ave, Hilo, HI 96720"
4iKcHN-jubfp2OsbsmgJhg,The Hidden Nene,"Cocktail Bars, Tapas/Small Plates, Beer Bar",-155.0862397,19.72366164099325,"58 Furneaux Ln, Hilo, HI 96720"
Qek-U19wg32nxgwwHZFJtQ,Ratana's,"Thai, Salad, Japanese",-155.085009,19.721902,"211 Kilauea Ave, Hilo, HI 96720"
XfzE-DEyCOAXNosgfK76Iw,Millie's Deli & Snack Shop,"Delis, Sandwiches",-155.0626218,19.7231927,"94 Kalanianaole Ave, Hilo, HI 96720"
ywdqHDHtZkkIEfUlS1IX3g,Koji's Bento Korner,"Delis, Breakfast & Brunch, Burgers",-155.0843536,19.7224279,"52 Ponahawai St, Hilo, HI 96720"
e-w7uMMO0LlY_-7ISOlQEg,Liko Lehua Cafe,Hawaiian,-155.10633,19.71326,"177 Kaumana Dr, Hilo, HI 96720"
LmMzDQfggxhDHf9fziBHYQ,Pho 99,Vietnamese,-155.085764,19.7241193,"18 Furneaux Ln, Hilo, HI 96720"
S276sdN5gBOqHGXlJfRQnw,Poke N Sides @ the Hilo Farmers Market,"Poke, Hawaiian, Burgers",-155.08487,19.72264,"57 Mamo St, Hilo, HI 96720"
X9V69KOVcDJPMlFv2R4L4Q,Tin Shack Bakery,"Coffee & Tea, Bakeries, Sandwiches",-154.9437281,19.4942503,"15-1500 Akeakamai Lp, Pāhoa, HI 96778"
rmsQo7FTTKjHs3eQ_1-s4Q,5-Spice,"Specialty Food, Hawaiian, Breakfast & Brunch",-155.0669464,19.691641,"2064 Kilauea Ave, Hilo, HI 96720"
JXZviTF8RNFicsTjFI9uYA,Big Island Top Dogs,"Burgers, Hot Dogs",-155.067029220193,19.7068837182555,"811 Laukapu St, Ste 6, Hilo, HI 96720"
J4WViWLfWCb_VDMULc4t0A,WSW Steakhouse,"Steakhouses, Whiskey Bars",-155.066693,19.728168,"71 Banyan Dr, Hilo, HI 96720"
RGXRgtakimPAU4bTEFTVkQ,Dragon Kitchen Brown Rice Sushi,"Japanese, Poke, Sushi Bars",-155.085052490234,19.7235774993896,"330 Kamehameha Ave, Hilo, HI 96720"
UOP0yoQjTlfOQgJWg2aDGQ,Vegan Shop,Vegan,-155.08585,19.71973,"516 Kinoole St, Hilo, HI 96720"
VP9N1fbAmVz7GX1BkoU_Eg,Pho Viet,Vietnamese,-155.0865827,19.7227748,"80 Kilauea Ave, Hilo, HI 96720"
ISlWwFghK-OE_k-KFq_2bw,Rainbow Falls,Parks,-155.10860837045746,19.71915380173882,"967 Waianuenue Ave, Hilo, HI 96720"
4iiV_vl_T4yPEGTGccOIig,Haneul Cafe,"Korean, Cafes",-155.0655095,19.71696008025059,"417 Kalanikoa St, Hilo, HI 96720"
