id,name,categories,longitude,latitude,display_address
ChIJQ3-ALFZLUnkRJFZ7XC7z554,Tanaka Hatsume Piano Studio,"point_of_interest, school, establishment",-155.087064,19.724923999999998,"165 Keawe St #104, Hilo, HI 96720, USA"
ChIJQ3-ALFZLUnkR3LDzlZzFqoE,Gloria Mendoza-Watson Piano,"store, point_of_interest, school, establishment",-155.087064,19.724923999999998,"165 Keawe St #104, Hilo, HI 96720, USA"
ChIJ1fgg61dLUnkRfeJrovG6W8M,Cafe Pesto Hilo Bay,"restaurant, cafe, pizza_restaurant, seafood_restaurant, food, point_of_interest, establishment",-155.08501479999998,19.723734999999998,"308 Kamehameha Ave #101, Hilo, HI 96720, USA"
ChIJhy4Cs6BLUnkRRLR9qwEwDLY,Downtown Hilo,"shopping_mall, point_of_interest, establishment",-155.08589089999998,19.7244998,"41 Waianuenue Ave, Hilo, HI 96720, USA"
ChIJ-fK32FdLUnkRNcN-XAiV-WM,Puka Puka Kitchen,"restaurant, food, point_of_interest, establishment",-155.0856508,19.72419,"270 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJAddEk1dLUnkRRw2IwItQbM0,Reuben's Mexican Food,"mexican_restaurant, restaurant, food, point_of_interest, establishment",-155.0849533,19.723541,"336 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJ_4XqOtVLUnkR5L7h0LVi_g4,Pho 99,"vietnamese_restaurant, restaurant, food, point_of_interest, establishment",-155.0857987,19.7239687,"18 Furneaux Ln, Hilo, HI 96720, USA"
ChIJscaAO1dLUnkRYLaxwi9aI9k,Loved by the Sun,"vegetarian_restaurant, restaurant, food, point_of_interest, establishment",-155.0856894,19.7240868,"12 Furneaux Ln, Hilo, HI 96720, USA"
ChIJkUv3w1dLUnkRqPogkHN_eCw,Saucy Dogs,"american_restaurant, restaurant, food, point_of_interest, establishment",-155.085744,19.724093999999997,"14 Furneaux Ln, Hilo, HI 96720, USA"
ChIJtawCx1dLUnkR3-OIJ0nBoSI,Tamari Lunch,"japanese_restaurant, restaurant, food, point_of_interest, establishment",-155.0859088,19.7239292,"22 Furneaux Ln, Hilo, HI 96720, USA"
ChIJfe-rlFdLUnkRsG8BlPh0Evs,Dragon Kitchen Brown Rice Sushi,"sushi_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment",-155.084983,19.723605,"330 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJ94cBZ0pLUnkR6TGrefs6ePU,Aloydee’s Thai Food,"thai_restaurant, restaurant, food, point_of_interest, establishment",-155.0849893,19.7236102,"330 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJq57MEPRLUnkRL_c9ulUQNio,Corner Cafe,"coffee_shop, cafe, store, food, point_of_interest, establishment",-155.0849893,19.7236102,"330 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJ54UkLMpLUnkRkR0NVQHrXsw,808 LOCAL FLAVAH,"restaurant, food, point_of_interest, establishment",-155.0849893,19.7236102,"330 Kamehameha Ave #102, Hilo, HI 96720, USA"
ChIJA-c475BLUnkRVh6TmJ81XTU,James Hoover Vocal Coach,"school, point_of_interest, establishment",-155.08516310000002,19.7237333,"308 Kamehameha Ave suite 212, Hilo, HI 96720, USA"
ChIJgQ2O5ldLUnkRvObF0Ps_Xd0,301 Kamehameha Ave Parking,"parking, point_of_interest, establishment",-155.0850912,19.724508099999998,"301 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJgQ2O5ldLUnkR420lWey9j-Q,329 Kamehameha Ave Parking,"parking, point_of_interest, establishment",-155.0850912,19.724508099999998,"329 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJuwpbdFdLUnkRheRcnQO5sW8,Ratana's Green Papaya Salad,"restaurant, thai_restaurant, food, point_of_interest, establishment",-155.0850127,19.721891499999998,"211 Kilauea Ave, Hilo, HI 96720, USA"
ChIJcwepdldLUnkRRJ18LBZ83Is,Oy's Thai Fusion Restaurant,"thai_restaurant, restaurant, food, point_of_interest, establishment",-155.0850127,19.721891499999998,"211 Kilauea Ave, Hilo, HI 96720, USA"
ChIJMQpvs6lMUnkRufly6WtiEgI,Hilo Farmer's Market,"market, grocery_store, food, point_of_interest, store, establishment",-155.084795,19.7229776,"Corner of Kamehameha Avenue and, Mamo St, Hilo, HI 96720, USA"
ChIJKXwphFdLUnkRlMqc9tqEcls,Paul's Place,"cafe, restaurant, food, point_of_interest, establishment",-155.084253,19.7225955,"132 Punahoa St, Hilo, HI 96720, USA"
ChIJKUORiVdLUnkR4C0eMgYKhQU,Shell,"gas_station, convenience_store, food, point_of_interest, store, establishment",-155.0840452,19.723121,"394 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJDQ1SnFdLUnkRNo7YmC_RTHk,Hilo Farmers Market Kitchen,"restaurant, food, point_of_interest, establishment",-155.0849503,19.7231195,"57 Mamo St, Hilo, HI 96720, USA"
ChIJ0SnlhldLUnkR6WYX9I54944,Koji's Bento Korner Inc,"hamburger_restaurant, american_restaurant, restaurant, food, point_of_interest, establishment",-155.084218,19.722554799999997,"52 Ponahawai St, Hilo, HI 96720, USA"
ChIJRfPJhVdLUnkRjffURXRPOR8,Pakalana Inn,"hotel, lodging, point_of_interest, establishment",-155.08428569999998,19.7225957,"132 Punahoa St, Hilo, HI 96720, USA"
ChIJ20W6fSlLUnkRvp0rySDj4yc,Fruits market,"market, point_of_interest, establishment",-155.0848574,19.7229603,"57 Mamo St, Hilo, HI 96720, USA"
ChIJ7T_Yv3RLUnkRFwvYqCvzr44,Indo Grindz,"indonesian_restaurant, restaurant, food, point_of_interest, establishment",-155.0847564,19.7229661,"57 Mamo St, Hilo, HI 96720, USA"
ChIJBxla1SpLUnkRbaLewkuMTRE,Aloha Island Mart,"convenience_store, gas_station, food, point_of_interest, store, establishment",-155.08403950000002,19.7231348,"394 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJswGhhldLUnkRmkHZDcPm0gI,Guitar Lesson With The Creative Guitar,"school, point_of_interest, store, establishment",-155.0842958,19.722597999999998,"56 Ponahawai St, Hilo, HI 96720, USA"
ChIJLyDl7VdLUnkRIMdr1X1Hass,Hele-On Mo'oheau Bus Terminal,"bus_station, transit_station, point_of_interest, establishment",-155.08462129999998,19.7240487,"329 Kamehameha Ave, Hilo, HI 96720, USA"
