Original_Index,Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude,Cumulative_Distance,Truck_Load
0,Moody Gardens,0.0,0.0,"1 Hope Blvd, Galveston",29.2736,-94.8523,0,0
116,Shearn's Seafood and Prime Steaks,1.0,1.0,"7 Hope Blvd Galveston, TX 77554",29.2708,-94.8505,471,1
22,Cajun Greek,1.0,1.0,"2226 61st St Galveston, TX 77551",29.2769,-94.8316,2969,2
150,Mario's Ristorante,1.0,1.0,"2202 61st St Galveston, TX 77551",29.2771,-94.8315,3049,3
144,Yamato,1.0,1.0,"2104 61st Street, Galveston",29.2781,-94.8316,3250,4
112,Hooters,1.0,1.0,"6028 Heards Ln Galveston, TX 77551",29.2797,-94.8324,3541,5
17,Galveston College Charlie Thomas Family Applied Technology Center,2.0,3.0,"7626 Broadway Street, Galveston",29.2876,-94.8568,6778,8
18,Galveston Country club,1.0,1.0,"14888 Stewart rd Galveston, TX 77554",29.289,-94.8627,7873,9
121,Number 13 Prime Steak and Seafood,1.0,1.0,"7809 Broadway Street, Galveston",29.2851,-94.8575,8969,10
6,Texas A&M University at Galveston,1.0,1.0,"200 Seawolf Parkway, Galveston",29.3155,-94.8183,16423,11
63,Britton's Bistro (Murdocks),1.0,2.0,"2226 71st St Galveston, TX 77551",29.3132,-94.8189,17956,13
106,Bronco Burritos,1.0,1.0,"4917 Broadway St Galveston, TX 77551",29.2918,-94.8224,21381,14
160,Koop's BBQ Kitchen,1.0,2.0,"4501 Broadway Avenue J, Galveston",29.2932,-94.8173,21931,16
96,Cordray Drug Store,1.0,2.0,"3827 Ave L Galveston, TX 77550",29.2933,-94.8096,22860,18
41,Chef Mary Bass,1.0,1.0,"1510 39th Street, Galveston",29.2906,-94.8086,23174,19
3,Good Dough,1.0,1.0,"1508 39th Street, Galveston",29.2906,-94.8085,23220,20
42,Nick's,1.0,1.0,"1613 39th Street, Galveston",29.2894,-94.8085,23358,21
19,Mr. C's Dugout @Galveston College,1.0,1.0,"Student Center, 4015 Avenue Q, Galveston",29.2847,-94.8078,24019,22
95,Nick's Kitchen and Beach Bar,1.0,1.0,"3802 Seawall Boulevard, Galveston",29.2798,-94.804,24798,23
25,Gaido's,1.0,1.0,"3828 Seawall Boulevard, Galveston",29.2796,-94.8045,25283,24
94,Redfish Pool Bar,1.0,1.0,"3788 Seawall Boulevard, Galveston",29.2799,-94.8038,25357,25
93,The Gumbo Diner,1.0,1.0,"3602 Seawall Boulevard, Galveston",29.2812,-94.8019,25668,26
92,Joe's Crab Shack,1.0,1.0,"3502 Seawall Boulevard, Galveston",29.2816,-94.8015,25746,27
91,Queen's Bar-B-Que,1.0,2.0,"3428 Avenue S, Galveston",29.2835,-94.8012,25981,29
83,Under the Bun,1.0,1.0,"3202 Seawall Boulevard, Galveston (SPOT)",29.2837,-94.7982,26304,30
88,Drip,1.0,1.0,"3204 Seawall Boulevard, Galveston",29.2837,-94.7982,26304,31
84,Squeeze,1.0,1.0,"3204 Seawall Boulevard c, Galveston (spot)",29.2838,-94.798,26334,32
86,SideYard,1.0,1.0,"3204 Seawall Boulevard Suite D, Galveston",29.2837,-94.798,26344,33
156,The Spot,1.0,1.0,"3204 Seawall Boulevard, Galveston",29.2836,-94.798,26354,34
85,Tiki Bar,2.0,2.0,"3204 Seawall Boulevard Suite B, Galveston",29.2836,-94.798,26354,36
87,Rum Shack,1.0,1.0,"3204 Seawall Boulevard Suite E, Galveston",29.2836,-94.798,26354,37
81,Island time beach bar,2.0,2.0,"3102 Seawall Boulevard, Galveston",29.2842,-94.7971,26475,39
80,The Poop Deck,1.0,1.0,"2928 Seawall Boulevard, Galveston",29.2852,-94.7956,26692,40
