Original_Index,Unnamed: 0,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Bike Aggregation Point,Cumulative_Distance,Truck_Load
41,56,Little Daddy’s Gumbo Bar - Galveston,-94.7914734,29.304882,1,1,1634.0,restaurant,4.5,1050,175,1050,"2107 Postoffice Street, Galveston",POINT (-94.7914734 29.304882),Skeptical,Med,No,High,indoor,Truck,,,38082,45
40,55,Sky Bar,-94.7914472,29.3049316,1,1,378.0,restaurant,4.3,210,70,210,"2105 Postoffice St, Galveston",POINT (-94.7914472 29.3049316),Skeptical,Med,No,High,indoor,Truck,,,38085,46
39,54,Taquilo's Tex-Mex,-94.791404,29.3049299,2,1,1427.0,restaurant,4.3,420,140,420,"2101 Postoffice St, Galveston",POINT (-94.791404 29.3049299),Skeptical,Med,No,High,indoor,Truck,,,38088,48
6,7,Rudy & Paco Restaurant and Bar,-94.791081,29.3053363,1,1,892.0,bar,4.7,100,75,100,"2028 Postoffice St, Galveston",POINT (-94.791081 29.3053363),Hesitant,High,No,High,indoor,Truck,,,38131,49
36,48,Saltwater Grill,-94.790643,29.3050765,1,1,653.0,restaurant,4.4,280,70,280,"2017 Postoffice Street, Galveston",POINT (-94.790643 29.3050765),Skeptical,Med,No,High,indoor,Truck,,,38163,50
128,165,Lolo Kai Smoothies and Wraps,-94.7931018,29.3039878,2,1,338.0,restaurant,4.8,,,750,"528 23rd Street, Galveston",POINT (-94.7931018 29.3039878),Curious,Med,Yes,Low,indoor,Truck,,,38746,52
18,27,Star Drug Store,-94.7931581,29.304249,2,1,1247.0,restaurant,4.5,140,35,140,"510 23rd Street, Galveston",POINT (-94.7931581 29.304249),Curious,High,Yes,Low,indoor,Truck,,,38749,54
81,110,Sharky's Tavern,-94.7953346,29.3037598,2,2,757.0,restaurant,4.4,,,1250,"504 25th Street, Galveston",POINT (-94.7953346 29.3037598),Skeptical,Med,No,High,indoor,Truck,,,38967,56
48,71,Trini Mike's Island Time Kitchen (Food Truck),-94.7954706,29.3041632,1,1,5.0,restaurant,4.2,,,93.75,"2424 Post Office, Galveston (Sharkeys)",POINT (-94.7954706 29.3041632),Skeptical,Med,No,Low,indoor,Truck,,,39090,57
132,169,Vida Agave,-94.795515,29.30184,1,1,155.0,restaurant,4.7,70,10,70,"711 25th Street, Galveston",POINT (-94.795515 29.30184),Skeptical,Med,Yes,Low,indoor,Truck,,,39421,58
