0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204
0.0,5143.2,8990.2,6368.1,13815.7,9602.4,9632.7,9323.5,6932.9,6324.5,7324.4,8990.2,9851.1,2976.7,9320.9,9348.9,5812.3,9218.5,9356.6,10398.4,10244.5,10239.8,2489.4,8867.1,5797.3,2989.0,9109.1,9129.5,5285.3,8752.5,6361.5,7657.9,8490.2,6492.2,18621.5,8033.0,9665.0,8182.2,8256.1,9588.7,9584.8,9580.9,436.6,9545.0,26171.8,8866.2,9244.4,9357.7,9186.9,8865.7,7932.1,7473.1,8814.1,9348.6,3475.1,6675.3,6912.0,6269.9,7857.5,6193.1,6206.4,6240.4,6227.5,6241.5,9460.3,7675.9,5866.7,6068.6,6211.3,7529.0,5883.2,5769.4,7208.1,6171.2,5833.5,9679.1,9648.6,5808.2,4819.2,5761.6,11971.6,9136.3,5009.6,5019.6,5096.7,3386.8,4175.2,1802.5,330.1,468.7,11053.3,11399.6,12655.1,3104.0,7548.3,3030.0,1182.5,3134.2,3124.7,3007.0,10823.3,5595.8,25188.0,5018.3,4889.3,5490.5,12697.7,5028.7,5097.8,4480.7,559.3,654.9,9683.4,12724.8,10511.1,14114.0,9958.5,9828.6,26171.8,9687.2,10012.5,6239.5,4850.2,11611.5,5351.2,6274.6,5387.8,11379.2,9353.4,2858.6,2952.7,2704.9,9019.7,4875.8,13543.1,9521.6,9577.8,11674.6,5050.1,9942.5,7244.9,4782.5,4839.1,869.8,11487.4,11103.5,11055.8,11232.1,13908.2,9194.4,12685.4,4145.2,5056.6,6812.5,7423.9,4785.2,5907.4,9047.8,4726.9,3494.2,2958.0,2868.2,3898.0,5692.8,3043.1,4833.0,14111.8,12749.5,26159.7,35114.8,16426.3,15924.8,15071.6,14469.6,12732.6,11582.2,11574.1,11029.6,9158.1,5521.5,5825.5,6027.9,6198.5,6917.6,7174.9,7629.8,8096.8,8600.2,5924.9,5486.1,5069.2,4313.9,3710.6,2595.2,3186.9,5572.7,7771.3,1849.6,1672.0,13248.8,6031.2,8261.5,11893.4,15070.8,14999.4
5286.6,0.0,12326.0,9623.2,15375.9,12938.2,12968.5,12659.3,9518.9,9660.3,10660.3,12326.0,13186.9,6231.8,12656.7,12684.7,8153.0,12554.3,12692.4,13734.2,13580.3,13575.6,3703.1,12202.9,3575.9,6244.1,11449.9,12465.4,217.8,11093.2,9616.6,9513.7,10830.9,9646.6,16400.1,10327.6,13000.8,10522.9,11410.4,12924.5,12920.6,12916.7,4702.1,12880.8,23950.4,12202.0,12580.2,12693.5,12522.7,12201.6,11086.4,9813.8,12149.9,12684.5,6730.2,9397.7,9252.8,9525.0,11193.3,9448.2,9461.5,8944.9,8957.8,8943.8,12796.1,11011.7,9121.8,9323.7,8537.5,10864.8,8223.9,9024.5,10544.0,9426.3,8969.2,13014.9,12984.5,7681.0,6925.7,9097.4,15307.4,12472.1,6737.8,6717.5,6352.6,6722.6,5431.1,5312.3,5014.6,5027.6,14389.1,14735.4,15990.9,2709.4,10884.1,2509.7,5631.0,2739.6,2730.1,2162.7,14159.1,6851.7,22966.7,6718.7,8144.4,6746.4,10476.4,6708.3,6353.7,5736.6,5640.1,5727.1,13019.2,10503.5,13847.0,11155.6,13294.3,13164.5,23950.4,13023.0,13348.3,8945.8,2719.9,13171.7,8606.3,9610.5,7371.0,12958.0,12689.2,6113.7,6207.8,5960.0,12355.6,2745.5,15103.3,12857.5,12913.6,15010.4,8386.0,13278.3,10580.7,8118.3,8174.9,4626.1,13066.1,12682.2,12341.4,12792.3,15468.4,12530.2,16021.2,7400.3,7275.4,9669.9,9764.6,6041.1,9243.3,12383.6,8062.7,6749.3,6213.1,6123.3,5451.8,1929.6,2198.7,2766.1,11890.4,10528.2,23938.4,32893.5,17986.5,17485.0,16631.8,16029.8,14292.7,13142.4,13134.3,12589.8,11498.9,7671.9,8018.6,8368.7,8822.6,9258.3,9515.7,9970.5,10437.6,10941.0,7180.8,6742.0,6325.1,5569.8,4966.5,3851.0,4442.8,3351.3,10925.6,5359.4,3439.3,16584.6,3763.6,6040.2,9672.0,12849.4,12778.1
8678.1,11909.4,0.0,2614.5,5088.0,7453.6,905.0,1268.0,1842.0,6681.9,7681.8,0.0,1123.4,5973.1,1310.7,1365.0,3063.2,955.3,628.9,1670.7,1516.8,1512.1,8239.0,118.3,11456.5,5833.3,2362.7,143.3,12051.5,2076.7,2607.8,2505.0,2266.2,2277.2,24280.8,1367.9,937.3,1597.6,1130.1,863.5,859.7,855.8,8730.4,819.9,31831.1,6717.4,796.1,866.2,853.9,601.8,1241.5,1409.6,809.2,1432.7,6499.4,1862.7,2071.3,2187.6,1241.9,2660.7,2341.7,2306.9,2319.8,2305.8,778.1,1567.7,2764.0,3000.8,2803.0,2073.6,2992.7,3467.9,2260.1,2519.1,2904.2,951.4,921.0,3570.5,4468.3,3363.0,3516.9,872.4,4643.4,5036.6,4977.0,5522.5,5908.8,6964.2,8406.1,8419.1,2325.6,2807.2,4020.3,8763.3,7905.7,9796.2,8808.1,8793.5,8784.0,9773.2,2095.7,4518.2,30847.3,5037.8,3744.5,4543.7,18357.0,5027.4,4978.2,5586.5,8817.2,9118.6,1033.2,18384.1,1783.5,19773.3,1057.3,887.9,31831.1,1125.0,1284.8,2307.8,10509.5,2883.8,3770.1,2947.9,3950.3,2651.6,625.7,6030.7,5976.9,5926.9,783.5,10535.1,4815.4,2313.9,2021.1,3082.2,4549.3,1214.8,8343.3,5137.9,4467.8,9083.4,2759.7,2375.8,2328.2,2504.4,5180.6,208.0,4050.6,5251.0,4186.1,1871.2,1452.2,5340.5,3786.1,320.1,5082.4,6518.5,5982.3,5817.8,6705.5,12459.0,9809.2,10492.3,19771.1,18408.8,31819.0,40774.1,7698.7,7197.1,6344.0,5742.0,4004.9,2854.6,2846.4,2301.9,2313.1,3543.9,3197.2,2847.2,2394.2,1958.5,2230.3,1594.2,1508.9,2156.2,4035.0,4472.5,4891.8,5646.4,6249.3,7365.8,6773.2,11232.0,1136.5,7011.3,8690.0,11100.0,11690.5,13920.8,17552.7,20730.0,20658.7
6410.6,9642.0,2574.4,0.0,7399.9,5968.7,3216.9,2562.3,2079.3,5260.2,6260.2,2574.4,3435.3,3705.7,2559.6,2493.6,1405.6,2802.7,2940.8,3982.6,3828.7,3824.0,5971.6,2451.3,9678.2,3565.9,4674.6,2713.8,9784.0,4388.6,6.7,137.7,2993.3,575.2,22502.5,2316.1,3249.2,3006.2,2539.1,3172.9,3169.0,3165.1,6463.0,3129.2,30052.8,5232.6,2828.6,2941.9,2771.1,2450.0,2215.1,2383.2,2398.3,2561.3,4232.0,2067.4,1988.6,1950.1,1441.7,1784.9,1798.3,1910.0,1819.4,1908.9,3044.5,1260.1,1460.0,1661.6,2199.1,1114.9,1476.6,1362.8,357.9,251.7,638.9,3263.3,3232.8,1792.2,2690.0,1941.3,5828.8,2720.5,2865.1,2963.8,3198.7,3255.1,4130.4,4696.8,6138.6,6151.6,4637.5,5119.1,6332.2,6985.0,6484.0,7528.7,6540.7,7015.2,7005.7,7505.8,4407.5,2739.9,29069.0,2962.5,1477.3,2765.4,16578.7,2972.9,3199.9,3808.2,6549.8,6851.2,3324.6,16605.8,4095.4,17995.0,3369.2,3199.7,30052.8,3107.9,3596.7,1831.3,8731.2,5195.7,1902.5,1480.8,2172.0,4963.4,2937.6,3763.3,3709.5,3659.5,2604.0,8756.7,7127.3,3162.8,3220.0,5394.1,3127.6,3526.7,6180.6,3716.2,3046.1,6815.9,5071.6,4687.7,4640.0,4816.3,7492.4,2778.6,6362.5,2983.5,2407.8,1097.5,2425.8,3562.2,2364.4,2632.0,3660.7,4251.1,3714.9,3550.4,5101.7,10191.5,7541.8,8714.0,17992.8,16630.5,30040.7,38995.8,10010.5,9509.0,8655.8,8053.9,6316.8,5166.5,5158.3,4613.8,4625.0,1765.6,1418.8,1621.3,1790.3,2144.1,2280.9,2539.9,2728.6,4468.1,2256.7,2694.2,3113.5,3868.1,4471.0,5587.5,4994.9,9453.6,2756.7,4743.8,6422.5,9615.2,9912.2,12142.5,15774.3,18951.7,18880.4
14122.0,17353.3,5111.7,7424.9,0.0,11966.6,5250.3,6073.9,6046.4,11487.8,12728.9,5111.7,4353.9,10831.2,6116.6,6170.9,7255.8,5761.2,5434.8,4396.4,4242.5,4237.8,13682.9,5229.6,15649.2,10945.3,3959.4,5255.1,17495.4,4389.6,7418.3,7515.7,4579.1,7388.8,28473.4,5570.5,5282.6,5061.2,5724.3,5438.7,5434.8,5430.9,14174.4,5395.0,36023.7,11230.4,5603.0,5673.2,5660.9,5407.7,6353.4,5595.2,5615.1,6238.6,11943.3,6055.4,6263.9,6380.3,6047.7,6547.7,6534.4,6499.6,6512.4,6498.5,5775.8,6373.6,7880.1,6973.6,6995.7,6879.5,7185.4,7660.6,7066.0,7629.7,8020.3,5296.7,5266.3,7763.2,8661.0,8168.9,3532.8,5678.3,8836.1,9229.2,9169.7,10641.0,10101.4,12291.0,13850.0,13863.0,3390.8,3880.9,4051.2,12955.9,12711.6,13142.9,14252.0,12986.1,12976.6,15217.1,3520.8,8710.9,35040.0,9230.5,8855.6,8736.4,22549.7,9220.1,9170.9,9779.2,14261.2,14562.5,5839.1,22576.7,4072.4,23965.9,5634.4,5693.7,36023.7,5932.0,5166.9,6500.4,14702.2,3015.8,7962.7,7753.7,8142.9,2826.2,5431.6,11505.2,11420.9,11370.9,5587.3,14727.7,4505.1,6704.8,6412.0,4491.5,9355.1,3940.5,12856.3,9943.8,9273.6,14527.3,3093.0,3239.8,3196.6,2661.5,101.6,5321.5,4081.5,9149.2,8378.7,6987.3,5644.9,9533.1,8592.0,5126.0,9888.3,11962.4,11426.2,10929.9,10898.2,17902.9,15253.1,14685.0,23963.7,22601.5,36011.7,44966.8,6631.7,6130.2,1139.8,732.9,2236.8,2663.9,2655.7,2907.3,3909.8,7736.5,7389.8,7039.8,6586.8,6151.2,7343.5,5438.9,4972.5,4469.1,8227.6,8665.2,9084.4,9839.0,10441.9,11558.5,10965.8,15424.6,6248.1,12243.7,14133.9,15613.0,15883.2,18113.5,21745.3,24922.7,24851.3
9554.0,12785.3,7580.6,5967.8,11880.0,0.0,7174.8,6187.5,8109.2,7250.9,6990.4,7580.6,8316.5,6849.0,6184.9,6212.9,7418.5,6770.6,6997.1,7993.0,8146.2,8184.1,9114.9,7464.6,13371.7,6709.2,9397.8,7724.0,12927.4,9397.1,5961.1,6058.5,9586.6,6460.6,26195.9,8304.4,7207.2,9122.3,8527.5,7131.7,7127.8,7123.9,9606.3,7088.0,33746.2,1533.1,6830.8,6796.9,6739.0,6882.1,8199.4,8367.5,6830.0,6212.7,7706.5,8055.8,7976.0,7850.1,6322.9,7773.3,7786.6,7898.4,7807.7,7897.3,6843.9,6076.5,7876.6,7584.4,8187.5,5380.3,8377.2,7283.4,5608.8,6172.5,6561.8,7115.9,7120.3,7350.3,6348.0,4162.3,8835.6,6939.0,6538.3,6548.3,6730.6,6404.2,7662.3,7840.1,9282.0,9295.0,8998.0,8263.6,9519.1,10678.4,7936.5,10672.1,9684.0,10708.6,10699.2,10649.1,9288.7,7475.9,32762.5,6547.0,6403.6,7501.4,20272.2,6557.4,6731.8,7340.1,9693.1,9994.5,6547.4,20299.3,7882.0,21614.5,6822.5,6692.7,33746.2,6551.2,7252.9,7819.7,12424.7,9196.3,6879.9,4675.3,6908.0,9661.3,6993.8,7268.3,7184.0,6802.8,6972.6,12450.2,10477.7,5470.3,5763.3,8538.6,4693.5,8449.3,7117.7,5706.9,5036.8,9959.3,8893.5,9658.6,9521.2,9543.0,11972.5,7659.8,9549.4,6125.5,6585.4,6983.8,8410.1,7094.0,3750.4,7289.9,5651.4,7725.5,7189.3,6693.7,8576.2,13334.9,10685.1,12407.5,21686.2,20324.0,33734.2,42689.3,14490.6,13989.1,13135.9,12533.9,10796.8,9811.8,9803.6,9495.0,9446.8,7041.6,7284.1,8231.7,7778.7,8211.7,8469.1,8524.2,9033.6,9476.5,6992.7,7430.2,6645.3,7399.9,8002.8,9265.1,8981.1,13147.1,7638.8,7887.2,9565.9,4727.6,13605.7,15836.0,19467.8,22645.2,22573.9
10012.5,13243.9,1332.0,3949.0,5234.2,7367.8,0.0,1064.9,2931.9,7708.1,8130.2,1332.0,1269.6,7307.6,1107.7,1355.6,4141.4,946.9,619.4,818.8,971.9,1009.9,9573.5,1395.8,12534.8,7167.8,2508.9,1535.6,13385.9,2196.2,3942.3,3736.0,1933.9,3611.6,25359.0,2184.1,32.3,1946.7,1715.4,621.9,618.0,614.1,10064.9,578.2,32909.3,6631.6,784.5,854.6,842.3,1628.0,2575.9,2480.8,1835.4,1423.3,8163.6,2940.9,3149.5,3265.8,2268.0,3995.2,3419.9,3385.1,3398.0,3384.0,578.5,2593.9,4098.5,4335.3,3881.2,3099.7,4070.9,4546.1,3286.3,3853.6,4238.7,261.9,449.9,4648.7,5546.6,4389.1,2470.8,863.9,5721.6,6114.8,6055.3,6857.0,6987.0,8298.7,9740.5,9753.5,1823.8,1898.8,3154.3,9841.5,8931.8,11130.6,10142.6,9871.7,9862.2,11107.7,2241.8,5596.4,31925.5,6116.0,5075.9,5621.9,19435.2,6105.6,6056.4,6664.7,10151.7,10453.1,833.6,19462.3,876.0,20851.5,626.8,688.3,32909.3,914.0,380.3,3386.0,11587.7,2164.7,4848.3,3974.0,5028.5,2549.7,616.2,7725.4,7641.1,7261.4,975.4,11613.3,4113.0,2114.3,1821.6,2173.8,5575.4,1275.1,8257.5,6164.1,5493.9,10417.8,1915.7,2273.9,2474.3,2511.4,5326.7,1542.1,3184.6,6585.4,5264.3,3205.7,2530.4,6418.7,4812.3,783.0,6108.5,8182.7,7646.5,7152.3,7783.8,13793.4,11143.7,11570.5,20849.3,19487.0,32897.2,41852.3,7844.8,7343.3,6490.1,5888.1,4151.0,3000.7,2992.6,2448.0,2459.3,4622.1,4275.4,3925.4,3472.4,3036.7,3563.8,2324.5,1858.0,2044.0,5113.2,5550.8,5970.0,6724.6,7327.5,8444.0,7851.4,12310.2,2470.9,8345.7,10024.4,11014.3,12768.7,14999.0,18630.9,21808.3,21736.9
9275.1,12506.4,1268.6,2858.1,6094.0,6187.5,858.0,0.0,2278.2,6921.0,6949.9,1268.6,2129.4,6570.2,42.8,98.0,3447.6,443.7,680.9,1674.9,1828.0,1866.0,8836.1,1147.8,11841.0,6430.4,3368.7,1407.9,12648.5,3082.7,2851.5,2948.9,3272.2,2526.7,24665.2,2113.3,890.3,2806.6,2336.3,814.9,811.0,807.1,9327.5,771.2,32215.5,5451.3,469.6,480.3,412.1,694.6,2012.3,2180.4,543.6,165.7,7376.5,2266.3,2455.7,2572.0,1480.9,2910.9,2726.2,2691.3,2704.2,2690.2,486.0,1806.8,3014.2,3165.4,3187.5,1908.5,3377.1,3852.3,2499.2,2768.6,3154.4,803.0,807.4,3954.9,4852.8,3602.1,3488.1,622.4,5027.9,5421.0,5361.5,6074.2,6293.2,7561.3,9003.1,9016.1,3331.6,2916.1,4171.6,9147.7,7896.0,9334.7,9405.2,9177.9,9168.4,10370.3,3101.7,4902.7,31231.7,5422.2,4288.8,4928.2,18741.5,5411.8,5362.6,5971.0,9414.3,9715.6,1200.0,18768.5,1535.6,20157.7,809.0,637.5,32215.5,549.1,1036.9,2692.2,10893.9,2824.3,4154.5,3187.0,4334.7,3657.6,677.7,6938.4,6854.1,6524.0,645.5,10919.5,5130.3,2851.8,1984.9,3191.1,4414.6,2220.8,7077.2,5377.0,4706.8,9680.4,2575.3,3381.8,3334.2,3510.5,6186.6,1472.7,4201.9,5500.5,4570.5,2121.4,2223.1,5724.9,3471.5,973.8,5321.5,7395.6,6859.4,6414.9,7090.0,13056.0,10406.3,10876.8,20155.5,18793.2,32203.5,41158.6,8704.7,8203.2,7350.0,6748.0,5010.9,3860.6,3852.4,3307.9,3319.1,3928.3,3581.6,3231.6,2778.6,2343.0,2479.8,2337.2,2717.9,3162.2,4419.4,4857.0,5276.2,6030.8,6633.7,7750.2,7157.6,11616.4,1450.7,7676.9,9287.0,9834.0,12074.9,14305.2,17937.1,21114.5,21043.1
7287.8,9462.4,1905.4,2080.0,6012.8,8472.3,2933.0,2278.2,0.0,7294.9,9234.6,1905.4,2230.7,4582.9,2275.5,2209.7,1365.2,2341.5,2656.9,3060.6,2906.7,2902.1,5908.0,1786.7,9758.6,4443.0,2086.7,1848.4,9604.5,1730.1,2073.3,1970.5,1467.8,1742.7,22582.8,964.5,2965.3,1159.8,1547.6,2889.0,2885.1,2881.2,7340.2,2845.3,30133.1,7736.1,2544.7,2658.0,2487.2,1988.0,635.2,450.7,2114.4,2277.4,4302.8,164.7,373.3,489.7,1854.8,657.1,643.8,608.9,621.8,607.8,2760.6,2370.7,892.6,1083.0,1105.1,2686.5,1294.7,1770.0,2390.9,1882.7,1565.1,2979.4,2948.9,1872.6,2770.4,4163.0,4441.7,2258.6,2945.5,3338.6,3279.1,4870.9,4210.8,5573.9,7015.8,7028.8,3385.4,4197.1,4945.0,7065.3,8518.6,7252.3,7417.9,7095.5,7086.0,7326.2,2583.9,2820.3,29149.3,3339.9,2351.6,2845.8,16659.1,3329.5,3280.3,3888.6,7427.0,7728.3,3081.1,16686.1,3199.7,18075.3,3085.3,2915.8,30133.1,2647.3,2885.2,609.8,8811.5,3808.5,2072.1,3981.5,2252.3,3594.8,2653.7,4443.3,4359.0,4536.7,2320.0,8837.1,5740.1,5136.6,4269.6,4472.1,5162.2,2604.7,9362.0,6372.0,5080.7,7693.1,3703.0,3319.1,2978.3,3429.2,6105.3,1711.7,4975.3,3258.5,2488.1,1540.9,401.5,3642.5,4399.5,2348.1,6316.4,4465.1,4364.4,4427.6,5007.6,10012.0,7362.2,8794.4,18073.1,16710.9,30121.1,39076.2,8623.4,8121.9,7268.7,6666.7,4929.6,3779.3,3771.1,3226.6,2135.7,1845.9,1499.2,1149.2,696.2,260.6,152.5,607.4,1074.4,1577.8,2337.0,2774.6,3193.8,3948.4,4551.3,5667.8,5075.2,9534.0,877.8,5621.0,7052.4,12118.7,9992.5,12222.8,15854.7,19032.1,18960.7
7728.1,10959.4,8104.3,6681.2,12929.8,7273.5,8131.4,7144.1,8714.8,0.0,1154.8,8104.3,8965.1,5051.0,7141.5,7169.5,8041.2,7727.2,7953.7,8949.6,9102.8,9140.7,7289.1,7981.1,11545.8,5063.3,10204.4,8243.6,11101.5,9918.4,6674.5,6771.9,10108.0,7109.5,24370.1,8951.6,8163.8,9642.3,9174.6,8088.3,8084.4,8080.5,7780.5,8044.6,31920.4,6537.3,7787.4,7753.5,7695.6,7838.7,8848.0,9016.1,7786.6,7169.3,5549.5,8703.0,8624.7,8585.6,6971.6,8422.0,8435.3,8547.0,8456.4,8545.9,7800.5,6789.9,8525.2,8297.1,8836.2,6336.9,8112.1,7996.0,6322.2,6885.9,7274.5,8072.5,8076.9,8035.5,7061.6,4875.7,9792.2,7895.6,7251.9,7261.9,6981.4,4626.6,6234.6,5897.2,7456.1,7469.1,10167.3,9220.2,10475.7,8852.6,1378.7,8846.2,7858.2,8882.8,8873.3,8823.2,9937.4,7284.8,30936.6,7260.7,7120.4,7179.5,18446.3,7271.1,6982.6,6145.7,7867.3,8168.6,7504.0,18473.4,8838.6,19788.6,7779.1,7649.3,31920.4,7507.8,8209.5,8468.4,10598.8,10152.9,7593.5,5388.7,7621.6,10617.9,7950.5,5111.3,5027.0,4977.0,7929.2,10624.4,11434.3,6562.9,6856.0,9495.2,4164.2,9405.9,1075.3,3734.4,3953.2,8133.4,9850.1,10217.5,10169.9,10499.6,13022.3,8308.5,10506.0,6376.3,7299.0,7632.4,9058.8,6245.6,4707.0,8246.6,3614.6,5568.5,5032.3,4942.5,6419.2,11509.0,8859.2,10581.6,19860.4,18498.1,31908.3,40863.4,15540.4,15038.9,14185.7,13583.7,11846.6,10696.3,10688.1,10143.6,10154.8,8008.9,7969.3,8880.3,8427.3,8779.6,8916.5,9172.9,9553.6,9997.9,7613.9,7175.1,6896.2,6002.4,6575.1,7439.3,7155.2,11321.3,8286.5,5849.8,7740.0,10919.9,11779.8,14010.1,17642.0,20819.3,20748.0
