0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
11909.4,0.0,2614.5,5088.0,7453.6,905.0,1268.0,1842.0,6681.9,7681.8,0.0,1123.4,5973.1,1310.7,1365.0,3063.2,955.3,628.9,1670.7,1516.8,1512.1,8239.0,118.3,11456.5,5833.3,2362.7,143.3,12051.5,2076.7,2607.8,2505.0,2266.2,2277.2,24280.8,1367.9,937.3,1597.6,1130.1,863.5,859.7,855.8,8730.4,819.9,31831.1,6717.4,796.1,866.2,853.9,601.8,1241.5,1409.6,809.2,1432.7,6499.4,1862.7,2071.3,2187.6,1241.9,2660.7,2341.7,2306.9,2319.8,2305.8,778.1,1567.7,2764.0,3000.8,2803.0,2073.6,2992.7,3467.9,2260.1,2519.1,2904.2,951.4,921.0,3570.5,4468.3,3363.0,3516.9,872.4,4643.4,5036.6,4977.0,5522.5,5908.8,6964.2,8406.1,8419.1,2325.6,2807.2,4020.3,8763.3,7905.7,9796.2,8808.1,8793.5,8784.0,9773.2,2095.7,4518.2,30847.3,5037.8,3744.5,4543.7,18357.0,5027.4,4978.2,5586.5,8817.2,9118.6,1033.2,18384.1,1783.5,19773.3,1057.3,887.9,31831.1,1125.0,1284.8,2307.8,10509.5,2883.8,3770.1,2947.9,3950.3,2651.6,625.7,6030.7,5976.9,5926.9,783.5,10535.1
12669.9,903.9,3375.0,4330.0,8314.2,1305.0,2128.6,2230.2,7542.5,8542.4,903.9,0.0,6733.7,2171.3,2225.6,3439.7,1815.9,1489.5,912.7,758.8,755.8,8999.5,981.1,11833.0,6593.8,953.4,961.3,12812.0,733.6,3368.3,3265.5,762.9,3037.7,24657.2,1610.2,1337.3,1245.0,1371.1,1493.4,1489.5,1485.6,9491.0,1449.7,32207.5,7578.0,1657.7,1727.9,1715.6,1462.4,2002.0,1779.1,1669.8,2293.3,7259.9,2239.2,2447.8,2564.1,2102.4,2731.6,2718.2,2683.4,2696.2,2682.3,1830.5,2428.3,3524.5,3157.4,3179.5,2934.2,3369.2,3844.4,3120.7,3279.6,3664.7,1351.4,1321.0,3947.0,4844.8,4223.6,2758.9,1733.0,5019.9,5413.0,5353.5,6283.0,6285.2,7724.7,9166.6,9179.6,1567.6,2048.9,3262.3,9139.7,8766.3,9326.7,9568.6,9169.9,9160.5,10533.7,1337.6,4894.7,31223.8,5414.3,4505.0,4920.2,18733.5,5403.9,5354.7,5963.0,9577.8,9879.1,1893.8,18760.6,1023.2,20149.8,1689.1,1748.4,32207.5,1986.7,1221.6,2684.3,10886.0,2125.8,4146.5,3808.4,4326.8,1893.5,1486.3,6791.2,6737.5,6687.5,1642.0,10911.5
6337.0,5996.9,4573.8,10822.4,6609.0,6639.3,6330.2,4802.9,3331.2,4331.1,5996.9,6857.7,0.0,6327.5,6355.6,3221.5,6225.1,6363.2,7405.0,7251.1,7246.5,2666.7,5873.7,6923.5,687.5,8097.0,6136.2,6479.1,7811.0,4567.1,4664.5,5717.0,3498.9,19747.7,5039.7,6671.7,5729.8,5262.7,6595.3,6591.5,6587.6,3158.1,6551.7,27298.0,5872.8,6251.1,6364.4,6193.6,5872.4,4938.7,5106.8,5820.7,6355.3,927.1,4791.1,4321.3,3679.1,4864.2,3602.3,3615.6,3649.6,3636.7,3650.7,6466.9,4682.5,3275.9,3477.8,3620.5,4535.6,3292.4,3178.7,4214.8,3278.9,2840.2,6685.7,6655.3,3217.4,2228.5,2768.3,8978.2,6142.9,2418.8,2428.8,2063.1,393.5,1612.2,1391.8,2833.7,2846.7,8059.9,8406.2,9661.7,4230.2,4554.9,4223.8,3235.8,4260.4,4250.9,4200.8,7830.0,2562.3,26314.2,2427.5,2298.5,2457.0,13823.9,2437.9,2064.3,1694.9,3244.9,3546.2,6690.1,13851.0,7517.8,15166.2,6965.1,6835.3,27298.0,6693.8,7019.2,3648.7,5976.4,8618.1,2760.4,3281.3,2797.1,8385.9,6360.0,488.9,404.6,354.6,6026.4,6002.0
12503.8,1311.3,2900.9,6136.8,6184.9,900.7,42.8,2275.5,6963.8,6947.2,1311.3,2172.2,6567.5,0.0,95.3,3445.0,486.4,723.7,1717.6,1870.8,1908.7,8833.4,1190.6,11838.3,6427.7,3411.5,1450.7,12645.8,3125.5,2894.2,2991.7,3315.0,2524.0,24662.5,2156.0,933.1,2849.3,2379.1,857.6,853.7,849.8,9324.8,813.9,32212.8,5448.7,512.4,523.1,454.9,737.4,2055.1,2223.2,586.4,163.0,7419.3,2263.6,2453.1,2569.4,1523.7,2908.2,2723.5,2688.7,2701.5,2687.6,528.8,1849.6,3011.5,3162.7,3184.8,1951.2,3374.5,3849.7,2541.9,3105.7,3151.7,845.8,850.1,3952.3,4850.1,3644.8,3485.4,665.1,5025.2,5418.3,5358.8,6117.0,6290.5,7558.6,9000.5,9013.5,3374.4,2913.4,4169.0,9145.0,7893.3,9332.0,9402.5,9175.2,9165.8,10367.6,3144.4,4900.0,31229.1,5419.6,4331.5,4925.5,18738.8,5409.2,5360.0,5968.3,9411.6,9713.0,1197.3,18765.8,1578.3,20155.0,851.8,680.2,32212.8,591.8,1079.7,2689.6,10891.3,2867.1,4151.8,3229.7,4332.0,3700.3,720.4,6981.1,6896.8,6521.3,688.2,10916.8
12421.7,1365.9,2493.3,6191.4,6119.2,957.2,98.3,2210.2,6556.2,6881.5,1365.9,2226.7,5899.6,95.6,0.0,3379.6,542.9,779.2,1773.2,1926.3,2615.5,8751.3,1242.7,11773.0,6013.7,3466.0,1505.2,12563.7,3180.1,2486.6,2584.1,3369.6,2458.7,24597.2,2210.6,989.6,2903.9,2433.6,914.1,910.2,906.3,9242.7,870.4,32147.5,5383.0,568.9,578.6,511.4,792.0,2109.6,2277.8,641.9,67.7,7011.7,2198.3,2387.7,2543.6,1116.1,2845.2,2858.5,2623.4,2636.2,2622.2,584.3,1442.0,2948.5,3182.3,3119.5,1543.7,3309.2,3784.4,2134.3,2698.1,3088.7,901.3,905.7,3887.0,4784.8,3237.2,3196.9,720.7,4959.9,5353.0,5293.5,5709.4,6225.2,7359.4,8918.3,8931.3,3428.9,2624.9,3880.4,9079.7,7827.6,9266.7,9320.4,9109.9,9100.4,10285.5,3199.0,4834.7,31163.7,5354.3,3923.9,4860.2,18673.5,5343.9,5294.7,5903.0,9329.5,9630.9,908.7,18700.5,1633.9,20089.7,1183.8,1053.9,32147.5,616.5,1135.2,2624.2,10826.0,2922.6,4086.5,2822.1,4266.7,3754.9,776.0,6573.5,6489.2,6439.2,745.9,10851.5
8097.2,3115.5,1406.5,7222.9,7391.9,4242.5,3585.9,1365.9,6711.1,7711.0,3115.5,3440.9,3217.6,3583.3,3519.3,0.0,3551.7,3966.5,4270.7,4116.9,4112.2,4542.8,2996.8,8393.4,3077.8,3296.9,3058.6,8239.2,2940.2,1399.8,1297.0,2677.9,1235.7,21217.6,2174.6,4274.9,2369.9,2856.3,4198.6,4194.7,4190.8,5975.0,4154.9,28767.9,6655.7,3854.3,3967.6,3796.8,3198.2,1992.3,1660.8,3424.0,3587.0,2937.6,1244.7,1099.8,1088.3,2467.4,840.1,826.8,791.9,804.8,790.8,4070.2,2516.6,640.0,565.8,384.5,3068.3,70.9,404.7,1717.4,1209.5,891.9,4288.9,4258.5,507.3,1405.2,3551.2,5651.8,3468.7,1580.2,1973.4,1913.9,3505.7,2845.6,4208.7,5650.6,5663.6,4595.5,5407.2,6155.2,5700.1,7934.9,5887.1,6052.6,5730.3,5720.8,5961.0,3794.0,1455.0,27784.1,1974.6,986.3,1480.5,15293.8,1964.2,1915.0,2523.3,6061.7,6363.1,4351.3,15320.9,4409.9,16710.1,4394.9,4496.5,28767.9,4355.1,4095.3,792.8,7446.3,5018.7,706.9,3369.7,887.1,4805.0,3963.2,3078.1,2993.8,3171.4,3629.6,7471.9
12968.5,1054.8,2903.1,5884.3,6649.6,649.0,342.4,2432.8,7434.1,7411.9,1054.8,1919.6,7032.2,385.1,440.4,3789.5,0.0,471.3,1465.2,1618.4,1656.3,9298.1,938.3,12182.9,6892.4,3158.9,1198.2,13110.6,2872.9,2896.4,2993.9,3062.5,2868.0,25007.1,1907.1,681.4,2595.9,2130.7,605.9,602.0,598.1,9789.5,562.2,32557.4,5913.4,304.5,59.1,362.4,715.3,1832.3,2000.4,588.6,508.0,7889.7,2453.5,2797.6,2953.4,1525.9,3255.0,3268.3,3033.2,3046.1,3032.1,276.4,1851.8,3358.3,3592.1,3529.3,1953.4,3719.0,4194.2,2544.1,3107.9,3498.5,593.4,597.7,4296.8,5194.6,4345.5,2928.5,412.7,5369.7,6731.5,5703.3,6587.4,6635.1,8023.3,9465.2,9478.2,2471.8,2356.5,3612.0,9489.6,8358.0,10855.3,9867.2,9519.8,9510.3,10832.3,2891.9,5244.5,31573.6,6730.2,4333.8,5270.0,19083.3,6740.6,5704.5,6312.8,9876.3,10177.7,640.4,19110.4,1325.9,20499.6,599.4,427.8,32557.4,339.4,827.3,3034.1,11235.8,2614.7,4496.4,3231.9,4676.6,2999.6,468.0,7451.5,7367.2,6986.0,462.7,11261.4
12870.5,628.9,2942.1,5454.4,6992.2,323.1,680.9,2659.1,7005.0,7754.5,628.9,1489.8,6348.4,723.7,879.1,3828.5,470.4,0.0,1141.9,1295.0,1333.0,9200.1,690.0,12221.9,6462.5,2729.1,772.3,13012.6,2443.1,2935.5,3032.9,2632.6,2906.0,25046.1,1939.6,355.5,2166.9,1701.7,280.0,276.1,272.2,9691.6,236.3,32596.4,6256.0,210.1,280.8,268.0,523.8,1870.2,2038.3,727.3,946.8,7460.5,2647.2,2836.6,2992.5,1564.9,3294.0,3307.4,3072.2,3085.1,3071.1,194.5,1890.8,3397.3,3631.1,3568.4,1993.2,3758.0,4233.2,2583.2,3146.9,3537.5,369.5,339.1,4335.8,5233.7,3686.1,2794.9,218.0,5408.8,5801.9,5742.4,6158.2,6674.1,7808.2,9367.2,9380.2,2692.0,2222.9,3478.4,9528.6,8700.7,9715.6,9769.2,9558.8,9549.3,10734.3,2462.0,5283.6,31612.6,5803.1,4372.8,5309.1,19122.4,5792.7,5743.5,6351.9,9778.3,10079.7,449.6,19149.4,1202.4,20538.6,474.6,304.3,32596.4,539.8,703.8,3073.1,11274.8,2491.2,4535.4,3270.9,4715.6,3017.9,3.2,7022.4,6938.0,6888.1,500.6,11300.4
13913.1,1671.5,3984.7,4415.3,7988.9,1003.6,2633.7,3060.8,8047.6,8751.2,1671.5,913.7,7391.0,1991.3,1925.4,4270.3,1516.6,1189.2,0.0,153.1,191.1,10242.7,1789.4,12663.6,7505.1,1404.8,1814.9,14055.2,1404.0,3978.1,4075.5,1593.5,3948.6,25487.8,2523.7,1036.0,2075.6,2284.1,1191.7,1187.8,1183.9,10734.2,1148.0,33038.1,7252.7,1354.2,1424.4,1412.1,1967.5,2913.2,2609.7,2174.9,1993.0,8503.1,3069.8,3278.4,3394.7,2607.5,3562.2,3548.8,3514.0,3526.8,3512.9,1189.2,2933.4,4439.9,3988.0,4010.1,3439.3,4199.8,4675.0,3625.8,4189.5,4580.1,1050.0,1019.6,4777.6,5675.4,4728.7,1708.5,1433.7,5850.5,6243.6,6184.1,7200.8,7115.8,8850.8,10409.8,10422.8,1005.0,1136.5,2392.0,9970.3,9271.4,10157.3,10811.8,10000.5,9991.1,11776.9,1423.0,5725.3,32054.4,6244.9,5415.4,5750.8,19564.1,6234.5,6185.3,6793.6,10821.0,11122.3,1593.4,19591.2,139.1,20980.4,1387.4,1448.1,33038.1,1534.8,922.3,3514.9,11716.6,1399.6,4977.1,4313.6,5157.4,1533.1,1185.9,8065.0,7980.7,7930.7,1545.1,11742.1
13760.0,1518.4,3831.6,4262.2,8142.8,1008.7,2480.5,2907.7,7894.5,8905.1,1518.4,760.5,7237.9,2523.3,2577.6,4117.1,1521.7,1194.3,153.9,0.0,38.0,10089.6,1636.3,12510.5,7352.0,1251.6,1661.7,13902.0,1250.9,3824.9,3922.4,1440.4,3795.5,25334.7,2370.5,1041.1,1922.5,2131.0,1196.8,1192.9,1189.0,10581.0,1153.1,32885.0,7406.6,2009.7,2079.9,2067.6,1814.4,2760.0,2456.5,2021.8,2645.2,8350.0,2916.6,3125.2,3241.6,2454.4,3409.0,3395.7,3360.8,3373.7,3359.7,1343.1,2780.3,4286.8,3834.9,3857.0,3286.1,4046.6,4521.8,3472.6,4036.4,4427.0,1055.1,1024.7,4624.5,5522.3,4575.5,1862.4,1438.7,5697.4,6090.5,6031.0,7047.7,6962.7,8697.7,10256.7,10269.7,851.9,1290.4,2545.9,9817.2,9118.2,10004.2,10658.7,9847.4,9837.9,11623.8,1269.8,5572.2,31901.2,6091.7,5262.2,5597.7,19411.0,6081.4,6032.1,6640.5,10667.8,10969.2,1598.5,19438.0,293.0,20827.2,1392.4,1453.2,32885.0,1688.6,927.4,3361.7,11563.4,1553.5,4824.0,4160.4,5004.2,1380.0,1191.0,7911.8,7827.5,7777.5,1993.9,11589.0
