,Name,place_id,Address,Coordinates,business_status,types,category
39,Hilo Lagoon Center Association,ChIJza4uGFxLUnkRNsqlo08uJVU,"101 Aupuni St # 224, Hilo","{'lat': 19.7175685, 'lng': -155.0765801}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
40,Orchid Manor Condo Association,ChIJNTGvRYNMUnkRy0eJnWvm_o8,"355 Kalanianaole St # 200, Hilo","{'lat': 19.7259596, 'lng': -155.0592803}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
41,Leabert Paulos,ChIJV6BvC2RLUnkR94kZOMFwQXQ,"400 Hualani St, Hilo","{'lat': 19.7133008, 'lng': -155.0737356}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
42,Hale Kahakai Association,ChIJfcx3BBhMUnkRpCYGwDuH6xo,"2405 Kalanianaole St # 305, Hilo","{'lat': 19.7359041, 'lng': -155.0120552}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
43,Mauna Loa Shores,ChIJS4jlfWtMUnkRz0h9LLwn-Jg,"1875 Kalanianaole St, Hilo","{'lat': 19.733178, 'lng': -155.0272234}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
44,"2 br Condo #708, Penthouse Condo",ChIJ6QQidVdNUnkRTuUNFaDYX8U,"1875 Kalanianaole St, Hilo","{'lat': 19.7331172, 'lng': -155.0269714}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",lodging
45,Tohbi Hale,ChIJ6YE8ZCxLUnkRCZB7Zz4HYXg,"80 Olona St, Hilo","{'lat': 19.7043187, 'lng': -155.0761922}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
46,Hale Haumana,ChIJAQCM-kBLUnkR3dO5fvtJKTU,"1452 Kinoole St, Hilo","{'lat': 19.7035101, 'lng': -155.0755543}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
47,Adult Student Housing,ChIJdY6uaDpLUnkRdXGrY75Y1WU,"430 W Kawili St, Hilo","{'lat': 19.6955087, 'lng': -155.0824732}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
48,Kawili Regency Condominiums,ChIJiZ0oK0BLUnkRAcbjI0BNKko,"20 E Kawili St, Hilo","{'lat': 19.7036972, 'lng': -155.0722694}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
49,Hale Kawika,ChIJFVfS6-a1U3kRX0ifnel40Ow,"24 Ainako Ave, Hilo","{'lat': 19.7093471, 'lng': -155.1102289}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
