,name,place_id,address,coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,Name,business_hours,business_hours_text
117,Business ED & Tech,ChIJFf-rXdZLUnkRtD3bPW5nHyA,"Life Sciences Building A, Hilo","{'lat': 19.702267, 'lng': -155.0800825}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Business ED & Tech,,
118,College Hall C,ChIJFbI3OsZLUnkRLv6ACk6fyj0,"Walkways, Hilo","{'lat': 19.7032682, 'lng': -155.0804363}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,College Hall C,,
119,College Hall B,ChIJFwdM9SRLUnkRj2XAo4XdBYs,Hilo,"{'lat': 19.7032682, 'lng': -155.0798863}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,College Hall B,,
120,College Hall A,ChIJi2aPyP1LUnkRzedGA9Zp9J8,Hilo,"{'lat': 19.7034414, 'lng': -155.0796113}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,College Hall A,,
121,Center for Community Engagement,ChIJ1bIZAnpLUnkRL5Z6iq4Nl_g,"Kapiolani Street, Hilo","{'lat': 19.7034002, 'lng': -155.0793804}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Center for Community Engagement,"[{'close': {'day': 1, 'time': '1645'}, 'open': {'day': 1, 'time': '0745'}}, {'close': {'day': 2, 'time': '1645'}, 'open': {'day': 2, 'time': '0745'}}, {'close': {'day': 3, 'time': '1645'}, 'open': {'day': 3, 'time': '0745'}}, {'close': {'day': 4, 'time': '1645'}, 'open': {'day': 4, 'time': '0745'}}, {'close': {'day': 5, 'time': '1645'}, 'open': {'day': 5, 'time': '0745'}}]","['Monday: 7:45\u202fAM\u2009–\u20094:45\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20094:45\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20094:45\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20094:45\u202fPM', 'Friday: 7:45\u202fAM\u2009–\u20094:45\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
122,Pacific Internship Programs for Exploring Science,ChIJ6VdJ141LUnkR8ldyEKqNPlY,"PB-6 ,Room 105, Kapiolani Street, Hilo","{'lat': 19.7035733, 'lng': -155.0793804}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Pacific Internship Programs for Exploring Science,,
123,Daniel Gallares,ChIJVVXJHUFLUnkRnZb6-pqaFew,"70 Olona Street, Hilo","{'lat': 19.7044176, 'lng': -155.0760549}",OPERATIONAL,"['doctor', 'university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,doctor,Daniel Gallares,,
124,"BJY Contracting-Residential Concrete Contractor,Roofing Installation Service Work,Construction",ChIJZcKu36tMUnkRkdMtanyJzI0,"Hinano Street, Hilo","{'lat': 19.7159848, 'lng': -155.0689442}",OPERATIONAL,"['roofing_contractor', 'general_contractor', 'university', 'point_of_interest', 'establishment']",,,,,5.0,2.0,,,,,,,,roofing_contractor,"BJY Contracting-Residential Concrete Contractor,Roofing Installation Service Work,Construction","[{'close': {'day': 1, 'time': '1730'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '1730'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1730'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '1730'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1730'}, 'open': {'day': 5, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
125,United Hawaii College,ChIJHY9ksLJLUnkRW2eJ9vdoJPs,"139 Kapiolani Street, Hilo","{'lat': 19.7205154, 'lng': -155.0887427}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,United Hawaii College,,
126,Paradise Performing Arts Center,ChIJ06OQt6lMUnkRD7CgkIBOg84,"29 Shipman Street Suite #202, Hilo","{'lat': 19.726866, 'lng': -155.087556}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Paradise Performing Arts Center,,
127,Sachin Gandhi Rahman,ChIJ___vzry0U3kR5s-_pvHjeC0,"1292 Waianuenue Avenue, Hilo","{'lat': 19.7179262, 'lng': -155.1155741}",OPERATIONAL,"['doctor', 'university', 'health', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,doctor,Sachin Gandhi Rahman,,
128,Hilo Pagoda Hotel,ChIJrYJYTglNUnkRqeY3Quzfs2k,"USAk, 121 Banyan Drive, Hilo","{'lat': 19.72837849999999, 'lng': -155.0638389}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,2.7,6.0,,,,,,,,university,Hilo Pagoda Hotel,,
129,"University of Hawaii at Hilo, experimental ag farm",ChIJlzWamopKUnkR73Fkz55xWfk,"3551 Kanoelehua Avenue, Hilo","{'lat': 19.653193, 'lng': -155.049533}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,"University of Hawaii at Hilo, experimental ag farm",,
130,Kaitlyn Issler,ChIJVVUxp4Q1UnkRL7yyovWe8oQ,"16-590 Old Volcano Road, Keaau","{'lat': 19.6199963, 'lng': -155.0422644}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Kaitlyn Issler,,
