,name,place_id,address,coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,Name,business_hours,business_hours_text
141,Pacific Tsunami Museum,ChIJMxZ-LahMUnkRLpWx6b627QA,"130 Kamehameha Avenue, Hilo","{'lat': 19.7259466, 'lng': -155.0866304}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",,,,,4.4,325.0,,,,,,,,museum,Pacific Tsunami Museum,"[{'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
142,American Eagle Store,ChIJ____DxNLUnkR_8ZMCogAzyI,"111 Puainako Street #752, Hilo","{'lat': 19.697295, 'lng': -155.063187}",OPERATIONAL,"['clothing_store', 'store', 'point_of_interest', 'establishment']",,,,2.0,4.5,14.0,,,,,,,,clothing_store,American Eagle Store,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
143,Hilo - Car Transport,ChIJe_fLwBJLUnkRGuBz3rq0sqY,"111 Puainako Street, Hilo","{'lat': 19.697112, 'lng': -155.063435}",CLOSED_TEMPORARILY,"['moving_company', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,moving_company,Hilo - Car Transport,,
144,Cafe Pesto Hilo Bay,ChIJ1fgg61dLUnkRfeJrovG6W8M,"308 Kamehameha Avenue #101, Hilo","{'lat': 19.723735, 'lng': -155.0850148}",OPERATIONAL,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.4,1938.0,,,,,,,,restaurant,Cafe Pesto Hilo Bay,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1100'}}]","['Monday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:30\u202fPM']"
145,Zumiez,ChIJMVY-ARNLUnkRJwLzqbTs82Y,"111 Puainako Street #555, Hilo","{'lat': 19.6970897, 'lng': -155.0638617}",OPERATIONAL,"['clothing_store', 'shoe_store', 'store', 'point_of_interest', 'establishment']",,,,2.0,4.3,30.0,,,,,,,,clothing_store,Zumiez,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
146,American Savings Bank,ChIJeeX_aVlLUnkRNHBapbNDTvo,"100 Pauahi Street, Hilo","{'lat': 19.719744, 'lng': -155.0799666}",OPERATIONAL,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",,,,,4.3,12.0,,,,,,,,bank,American Savings Bank,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1300'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
147,The Inn at Kulaniapia Falls,ChIJP3XvbdJMUnkRX2Sw-54YxZY,"100 Kulaniapia Drive, Hilo","{'lat': 19.723564, 'lng': -155.134924}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,4.5,223.0,,,,,,,,lodging,The Inn at Kulaniapia Falls,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20099:00\u202fPM']"
148,Hawaii State Bar Association,ChIJZcKu36tMUnkRitRXWUOc_Pw,Hilo,"{'lat': 19.7297152, 'lng': -155.0900154}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,,,,,,,,,,point_of_interest,Hawaii State Bar Association,,
149,Richardson Ocean Park,ChIJ5TIK7hdMUnkRGkZ2LzC3lMk,"2355 Kalanianaole Street, Hilo","{'lat': 19.735784, 'lng': -155.013314}",OPERATIONAL,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",,,,,4.6,2178.0,,,,,,,,park,Richardson Ocean Park,"[{'close': {'day': 0, 'time': '1930'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '1930'}, 'open': {'day': 6, 'time': '0730'}}]","['Monday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20097:30\u202fPM']"
150,HIC Hawaiian Island Creations,ChIJMVY-ARNLUnkRL2hDKZVMSog,"111 Puainako Street #638, Hilo","{'lat': 19.6970172, 'lng': -155.0635853}",OPERATIONAL,"['clothing_store', 'store', 'point_of_interest', 'establishment']",,,,,4.5,4.0,,,,,,,,clothing_store,HIC Hawaiian Island Creations,"[{'close': {'day': 1, 'time': '0600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fAM']"
151,Hawaii Lava Tours,ChIJmxO-UZlMUnkR7SW8BnMv67w,"71 Banyan Drive, Hilo","{'lat': 19.7282558, 'lng': -155.0666259}",CLOSED_TEMPORARILY,"['travel_agency', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,travel_agency,Hawaii Lava Tours,,
