,name,place_id,address,coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,Name,business_hours,business_hours_text
214,Sunlight Café,ChIJm7IBD0NLUnkRDo7ArGTQvXg,"1263 Kilauea Avenue, Hilo","{'lat': 19.7102955, 'lng': -155.0759305}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,4.6,9.0,,,,,,,,restaurant,Sunlight Café,"[{'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 1, 'time': '1830'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '1830'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '1830'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '1830'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '1830'}, 'open': {'day': 5, 'time': '1700'}}]","['Monday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20096:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20096:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20096:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20096:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20096:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
215,Little Caesars Pizza,ChIJNyM8erpLUnkRUljA89m_3EU,"125 Kekuanaoa Street, Hilo","{'lat': 19.7116393, 'lng': -155.0767071}",OPERATIONAL,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,1.0,4.3,305.0,,,,,,,,meal_delivery,Little Caesars Pizza,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']"
216,Ola Brew - Hilo,ChIJU12r4BtLUnkRw1JW9lZnXPE,"1177 Kilauea Avenue, Hilo","{'lat': 19.71167939999999, 'lng': -155.076727}",OPERATIONAL,"['liquor_store', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.5,581.0,,,,,,,,liquor_store,Ola Brew - Hilo,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1130'}}]","['Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20098:00\u202fPM']"
217,K's Drive-In,ChIJMdNVYVpLUnkRBGGb_oTvo1k,"194 Hualalai Street, Hilo","{'lat': 19.7166931, 'lng': -155.0830024}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,4.2,432.0,,,,,,,,restaurant,K's Drive-In,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0630'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0630'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0630'}}]","['Monday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u20098:00\u202fPM']"
218,Tacos Jalisco LLLP,ChIJq18gsVdLUnkRc9z6gKetziA,"277 Kekuanaoa Street, Hilo","{'lat': 19.7118364, 'lng': -155.0743677}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,4.8,113.0,,,,,,,,restaurant,Tacos Jalisco LLLP,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
219,Ola Tap room,ChIJDz-VzENLUnkRxNHWBGgVc7k,"Kekuanaoa Street, Hilo","{'lat': 19.7115258, 'lng': -155.07671}",OPERATIONAL,"['bar', 'point_of_interest', 'establishment']",,,,,5.0,5.0,,,,,,,,bar,Ola Tap room,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1130'}}]","['Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20098:00\u202fPM']"
220,University of Hawaiʻi at Hilo,ChIJtXNoWjhLUnkRIzppYurNPPU,"200 West Kawili Street, Hilo","{'lat': 19.6999095, 'lng': -155.0853594}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.2,48.0,,,,,,,,university,University of Hawaiʻi at Hilo,"[{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
221,Imiloa Astronomy Center,ChIJsdQxZzZLUnkRvKrbC-puu20,"600 Imiloa Place, Hilo","{'lat': 19.7011173, 'lng': -155.0886773}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']",,,,,4.5,105.0,,,,,,,,museum,Imiloa Astronomy Center,"[{'close': {'day': 0, 'time': '1630'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1630'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20094:30\u202fPM']"
222,Hawaiʻi Community College,ChIJh8OZXTpLUnkRPLyeACJhgrk,"1175 Manono Street, Hilo","{'lat': 19.7050194, 'lng': -155.0699525}",OPERATIONAL,"['university', 'school', 'point_of_interest', 'establishment']",,,,,4.3,25.0,,,,,,,,university,Hawaiʻi Community College,"[{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
223,Waiakea High School,ChIJX-4S7z5LUnkRsjRUNB7HtBw,"155 West Kawili Street, Hilo","{'lat': 19.6984361, 'lng': -155.0771012}",OPERATIONAL,"['secondary_school', 'school', 'point_of_interest', 'establishment']",,,,,3.9,9.0,,,,,,,,secondary_school,Waiakea High School,,
