,Name,place_id,Address,Coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,business_hours,business_hours_text
333,"Rogelio B. Fontanilla, CRNA",ChIJ8cALvzeeP4YRVzlxtt06tIw,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
334,Sawhney Charu DO,ChIJ8cALvzeeP4YRzR0SwFdQ1PI,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
335,Coonfield Kimberly MD,ChIJ8cALvzeeP4YRDtze7_Q-wqw,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
336,University of Texas Med Branch: Calldenter David L MD,ChIJHaHSqDaeP4YRTS3TuB3xe6A,"400 Harborside Drive, Galveston","{'lat': 29.3148868, 'lng': -94.7747012}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,3.0,3.0,,,,,,,,,
337,Island Pediatrics,ChIJ8cALvzeeP4YR8gAmRR1zArI,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
338,University of Texas Med Branch: Goode Holly M,ChIJ8cALvzeeP4YRYvQkTJm-C_A,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'doctor', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
339,University of Texas Med Branch: Moorhead Terry A,ChIJ8cALvzeeP4YRrCcV3DF80HY,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'doctor', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
340,Doguet Lisa M MD,ChIJ8cALvzeeP4YRmLTnmf4X-Ng,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
341,College of the Mainland,ChIJC1yXW5V-P4YRcR55gDBnfbY,"1200 North Amburn Road, Texas City","{'lat': 29.3955473, 'lng': -94.9998366}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.5,147.0,,,,,,,,,
342,University of Texas Medical Branch the: Work Programs,ChIJHaHSqDaeP4YRv3TkY6LgyPc,"400 Harborside Drive Unit 123, Galveston","{'lat': 29.3148616, 'lng': -94.77482189999999}",OPERATIONAL,"['university', 'point_of_interest', 'health', 'establishment']",,,,,3.7,3.0,,,,,,,,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
343,"Dr. Hans M. Vonmarensdorff, MD",ChIJHaHSqDaeP4YRtR35w6bKZPg,"400 Harborside Drive, Galveston","{'lat': 29.3148866, 'lng': -94.77470749999999}",OPERATIONAL,"['university', 'point_of_interest', 'health', 'establishment']",,,,,,,,,,,,,,,
344,Galveston College Charlie Thomas Family Applied Technology Center,ChIJoXfVbwGdP4YRUxsvZMjg6Ys,"7626 Broadway Street, Galveston","{'lat': 29.2876496, 'lng': -94.8567631}",OPERATIONAL,"['university', 'finance', 'general_contractor', 'point_of_interest', 'health', 'establishment']",,,,,5.0,9.0,,,,,,,,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
345,Whitecaps,ChIJfUrwK36eP4YRFyxZwdkM9Wo,"3916 Avenue Q, Galveston","{'lat': 29.285577, 'lng': -94.8077385}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
346,Oceans Hall,ChIJOdaOAOWdP4YRN6MT1MR9nL8,"3005 Seawolf Park Boulevard B, Galveston","{'lat': 29.3167923, 'lng': -94.8185523}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,3.3,7.0,,,,,,,,,
347,Albatross Hall,ChIJmVLtduOdP4YR0GUQfLuyC2Q,Galveston,"{'lat': 29.31710099999999, 'lng': -94.8148709}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.0,1.0,,,,,,,,,
348,Stone Adam L MD,ChIJ8cALvzeeP4YR9J0iJyFx2Sg,"301 University Boulevard, Galveston","{'lat': 29.3107498, 'lng': -94.7758738}",OPERATIONAL,"['university', 'point_of_interest', 'health', 'establishment']",,,,,,,,,,,,,,,
349,Houston Kiteboarding,ChIJsXWase1iP4YRPleciMJR9UU,"524 9th Avenue North, Texas City","{'lat': 29.3935422, 'lng': -94.9021681}",OPERATIONAL,"['tourist_attraction', 'university', 'store', 'point_of_interest', 'establishment']",,,,,4.8,53.0,,,,,,,,,
350,Galveston College Testing Center,ChIJsRsKDv6fP4YRiRXnkI5-hgI,"4015 Avenue Q, Galveston","{'lat': 29.28471100000001, 'lng': -94.807822}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,5.0,3.0,,,,,,,,,
351,PeyDirt,ChIJC6WdNb6fP4YRlNH_XfOo25A,"3607 Avenue L, Galveston","{'lat': 29.2940089, 'lng': -94.80664329999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
352,Texas A&M fishing Pier,ChIJrR3sBHOdP4YRqJfPAbpDVPk,"Powell Marine Engineering Complex, 3031 Seawolf Park Boulevard, Galveston","{'lat': 29.3132, 'lng': -94.82073799999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,,
353,Powell Marine Engineering Complex,ChIJlb8O5-WdP4YRh9hYHjKRdeg,"200 Seawolf Parkway, Galveston","{'lat': 29.314309, 'lng': -94.81977069999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,3.7,3.0,,,,,,,,,
354,Spirit of Sea Aggieland,ChIJj8mXTomdP4YR07kCtq9-TFY,"Classroom Lab Building, Building 3007, Galveston","{'lat': 29.3151847, 'lng': -94.8187846}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
355,Texas A&M Maritime Academy,ChIJv4Cj0uSdP4YRkx2Nn0E-g50,"200 Seawolf Parkway, Galveston","{'lat': 29.315235, 'lng': -94.8174777}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,3.1,7.0,,,,,,,,,
356,William c level hall,ChIJjT4dWx2fP4YR7rEKuf9pG6I,"1902 Wharf Road, Galveston","{'lat': 29.30973, 'lng': -94.790219}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
357,Garage 4-Parking for SHP,ChIJQefNC4GfP4YRAW7NZyrRPNk,"12th Street &, Mechanic Street, Galveston","{'lat': 29.309578, 'lng': -94.781527}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
358,School Of Health Profession,ChIJMyKPbDieP4YR1ItOoSD0P0M,"1101 The Strand, Galveston","{'lat': 29.3102643, 'lng': -94.78121329999999}",OPERATIONAL,"['university', 'point_of_interest', 'health', 'establishment']",,,,,4.7,3.0,,,,,,,,,
359,UTMB School of Nursing,ChIJf30O-tefP4YRq7mFLgF4doQ,"1114 Mechanic Street, Galveston","{'lat': 29.3102329, 'lng': -94.78073049999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,5.0,3.0,,,,,,,,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
