,Name,place_id,Address,Coordinates,business_status,types,category
93,Shaka Shak Studios,ChIJXfBctFBLUnkRCqXYSO2swQQ,"128 West Kahaopea Street, Hilo","{'lat': 19.6901259, 'lng': -155.0716266}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",real_estate_agency
94,Shaka Shak Guest House Hilo Bay,ChIJFdyH-BdLUnkRjFvwJNBiXJQ,"126 West Kahaopea Street, Hilo","{'lat': 19.689787, 'lng': -155.071496}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",real_estate_agency
95,Hawaiian EDventure,ChIJFRPTvDhLUnkReQLhKGW81Jw,"200 West Kawili Street, Hilo","{'lat': 19.7012676, 'lng': -155.0792472}",OPERATIONAL,"['travel_agency', 'university', 'point_of_interest', 'establishment']",travel_agency
96,Regal Travel Inc,ChIJkQlRalpLUnkRaZnA9mzIXFI,"116 Hualalai Street # 201, Hilo","{'lat': 19.7175035, 'lng': -155.0826164}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
97,Hawaii Holiday Hospitality LLC,ChIJnUCqzFtLUnkR7scM_sZ5fpA,"101 Aupuni Street #248, Hilo","{'lat': 19.7172576, 'lng': -155.076611}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'point_of_interest', 'establishment']",real_estate_agency
98,Lotus Garden of Hilo,ChIJ1XOBp1dLUnkRJHMBbPXsA50,"140 Kilauea Avenue, Hilo","{'lat': 19.7223628, 'lng': -155.0859624}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",real_estate_agency
99,Wild Hilo Tours,ChIJueCgyJtMUnkR2M6ffzCKQbo,"301 Kamehameha Avenue, Hilo","{'lat': 19.72450809999999, 'lng': -155.0850912}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
100,Wild Orchid Tours,ChIJGdydQGJLUnkRTTxS14Dfk5U,"200 Kanoelehua Avenue, Hilo","{'lat': 19.7203679, 'lng': -155.0645901}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
101,Aloha Island Tours,ChIJmxO-UZlMUnkRZTWhko0L3m8,"71 Banyan Drive, Hilo","{'lat': 19.7282386, 'lng': -155.0667192}",CLOSED_TEMPORARILY,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
102,Hawaii Life Real Estate Brokers,ChIJtxuphINMUnkRjNe4dE9qAsY,"500 Kalanianaole Street, Hilo","{'lat': 19.7257163, 'lng': -155.0571984}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'point_of_interest', 'establishment']",real_estate_agency
